season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,2,"00:07:32,994","00:07:35,374",2.38,84,"Yes, Young Master."
1,2,"00:07:36,664","00:07:38,924",2.26,85,So you were the one who ran away from me.
1,2,"00:07:39,000","00:07:40,330",1.33,86,"Mu-deok, was it?"
1,2,"00:07:41,294","00:07:42,804",1.51,87,I am sorry to have startled you.
1,2,"00:07:55,099","00:07:56,679",1.58,88,Are you injured?
1,2,"00:08:09,530","00:08:10,570",1.04,89,Mu-deok.
1,2,"00:08:11,449","00:08:13,949",2.50,90,"I am fine, Young Master."
1,2,"00:08:16,954","00:08:19,044",2.09,91,Has the dust settled?
1,2,"00:08:16,954","00:08:19,044",2.09,92,No.
1,2,"00:08:19,123","00:08:20,293",1.17,93,It is still chaotic.
1,2,"00:08:20,875","00:08:22,835",1.96,94,Soul Shifter Naksu's body has gone missing.
1,2,"00:08:24,170","00:08:26,800",2.63,95,I knew it. They were the Danju's men.
1,2,"00:08:26,881","00:08:29,511",2.63,96,"Now, I just need to get out of here safely."
1,2,"00:08:30,218","00:08:31,968",1.75,97,What a pity.
1,2,"00:08:32,720","00:08:33,970",1.25,98,The soul shifter.
1,2,"00:08:34,055","00:08:36,095",2.04,99,"Naksu, the Shadow Assassin."
1,2,"00:08:37,350","00:08:40,900",3.55,100,I was always curious about how she looked.
1,2,"00:08:43,022","00:08:45,322",2.30,101,He knows who I am.
1,2,"00:08:45,399","00:08:47,649",2.25,102,I must kill him before I leave.
1,2,"00:08:52,281","00:08:55,371",3.09,103,They must have broken the pine forest barrier and gone out.
1,2,"00:09:08,673","00:09:10,473",1.80,104,So they broke the barrier.
1,2,"00:09:10,550","00:09:12,890",2.34,105,We will go after them.
1,2,"00:09:10,550","00:09:12,890",2.34,106,It is too late.
1,2,"00:09:14,428","00:09:16,928",2.50,107,Only those of Songrim can break the barrier.
1,2,"00:09:18,057","00:09:19,807",1.75,108,There is a spy among us.
1,2,"00:09:21,519","00:09:23,729",2.21,109,We must ask the Jin family for help.
1,2,"00:09:30,403","00:09:33,493",3.09,110,Naksu's body was in this secret room.
1,2,"00:09:34,574","00:09:37,994",3.42,111,"Uk, did you notice anything suspicious while hiding in Jeongjingak?"
1,2,"00:09:38,077","00:09:39,617",1.54,112,Suspicious?
1,2,"00:09:39,704","00:09:42,464",2.76,113,No. I was only watching Mu-deok.
1,2,"00:09:46,919","00:09:51,968",5.05,114,Do you think Naksu shifted her soul into another woman's body and came to retrieve her body?
1,2,"00:09:55,845","00:09:58,255",2.41,115,Can women only shift souls to the same gender?
1,2,"00:09:58,347","00:09:59,467",1.12,116,Not really.
1,2,"00:09:59,557","00:10:03,137",3.58,117,"But for everything to go smoothly, I heard they should pick someone similar."
1,2,"00:10:03,227","00:10:06,017",2.79,118,"Gender, age, and build."
1,2,"00:10:03,227","00:10:06,017",2.79,119,They all need to be similar.
1,2,"00:10:07,940","00:10:09,530",1.59,120,I am only asking because I have not seen her.
1,2,"00:10:09,609","00:10:13,649",4.04,121,Was Naksu thin with short limbs?
1,2,"00:10:13,738","00:10:16,408",2.67,122,Did she have a round face like Mu-deok right here?
1,2,"00:10:16,490","00:10:18,330",1.84,123,What the hell is his problem?
1,2,"00:10:20,911","00:10:24,461",3.55,124,"If that was the case, she would not have been nicknamed ""Naksu""."
1,2,"00:10:24,540","00:10:25,420",0.88,125,Look at her.
1,2,"00:10:26,208","00:10:28,958",2.75,126,What kind of an assassin looks this adorable?
1,2,"00:10:29,837","00:10:30,837",1.00,127,You are right.
1,2,"00:10:30,921","00:10:33,171",2.25,128,I bet she was a monster.
1,2,"00:10:33,257","00:10:35,427",2.17,129,"No, she was human."
1,2,"00:10:37,303","00:10:40,353",3.05,130,"Let us not belittle the dead, even if she was an assassin."
1,2,"00:10:46,270","00:10:48,310",2.04,131,Master Heo Yeom wants to see you.
1,2,"00:10:48,397","00:10:50,357",1.96,132,Go without me. He dislikes me anyway.
1,2,"00:10:50,441","00:10:52,151",1.71,133,Right. Being here would be safer.
1,2,"00:10:52,234","00:10:53,404",1.17,134,Let us go.
1,2,"00:11:04,872","00:11:06,622",1.75,135,The body was frozen here.
1,2,"00:11:06,707","00:11:10,497",3.79,136,"Seeing how there is no rotting smell, your body must still be fine."
1,2,"00:11:12,463","00:11:13,513",1.05,137,Naksu.
1,2,"00:11:15,132","00:11:16,302",1.17,138,That is right.
1,2,"00:11:17,134","00:11:19,474",2.34,139,I am the Shadow Assassin.
1,2,"00:11:22,181","00:11:23,471",1.29,140,Naksu.
1,2,"00:11:28,187","00:11:30,397",2.21,141,I thought long and hard about why you helped me.
1,2,"00:11:32,650","00:11:34,490",1.84,142,Did the Danju send you too?
1,2,"00:11:34,568","00:11:36,988",2.42,143,No. No one sent me here.
1,2,"00:11:37,071","00:11:38,991",1.92,144,Then why did you help me?
1,2,"00:11:39,073","00:11:42,453",3.38,145,"I already told you, but I guess you did not get the message."
1,2,"00:11:45,204","00:11:46,544",1.34,146,You have beautiful eyes.
1,2,"00:11:47,289","00:11:51,094",3.81,147,Do not tell me you really fell for me.
1,2,"00:11:53,379","00:11:54,419",1.04,148,Do not laugh.
1,2,"00:11:55,005","00:11:57,165",2.16,149,That is the only thing that makes sense.
1,2,"00:11:57,258","00:11:59,178",1.92,150,I do admit repeatedly calling you pretty.
1,2,"00:12:00,177","00:12:02,007",1.83,151,But it was because I desired something.
1,2,"00:12:02,638","00:12:03,808",1.17,152,Which was?
1,2,"00:12:04,473","00:12:08,773",4.30,153,I have been searching for someone who can break this spell to call my master.
1,2,"00:12:09,562","00:12:11,022",1.46,154,"And then, I found you."
1,2,"00:12:13,023","00:12:14,113",1.09,155,Naksu.
1,2,"00:12:14,900","00:12:16,860",1.96,156,I want you to be my master.
1,2,"00:12:32,793","00:12:33,923",1.13,157,I heard.
1,2,"00:12:34,003","00:12:36,053",2.05,158,You borrowed the Jin family's ghost Sapsali?
1,2,"00:12:36,130","00:12:37,090",0.96,159,"Yes, my lord."
1,2,"00:12:37,673","00:12:41,143",3.47,160,Are you certain that thing is in Songrim?
1,2,"00:12:41,218","00:12:42,298",1.08,161,I am.
1,2,"00:12:43,345","00:12:47,055",3.71,162,A soul shifter is lurking within Songrim.
1,2,"00:12:51,520","00:12:56,066",4.55,163,"The son of Jang Gang of Songrim is asking me, an assassin, to be his master?"
1,2,"00:12:57,735","00:12:59,485",1.75,164,What original nonsense.
1,2,"00:13:01,155","00:13:04,615",3.46,165,You will open your pupil's gate of energy and help him master spells.
1,2,"00:13:05,201","00:13:08,041",2.84,166,"As your pupil, I will keep you safe and hidden."
1,2,"00:13:08,120","00:13:11,460",3.34,167,We could form a beautiful relationship where we benefit from each other.
1,2,"00:13:11,540","00:13:13,420",1.88,168,Not interested.
1,2,"00:13:11,540","00:13:15,211",3.67,169,"If you do not want to be my master, you could be my wife instead."
1,2,"00:13:15,294","00:13:16,594",1.30,170,Would you like that?
1,2,"00:13:15,294","00:13:16,594",1.30,171,Shut it.
1,2,"00:13:17,254","00:13:20,224",2.97,172,I heard you visited many masters and got kicked out every time.
1,2,"00:13:20,299","00:13:22,259",1.96,173,Was it because you were this stubborn?
1,2,"00:13:26,222","00:13:29,562",3.34,174,I could not threaten my former masters since they had no weakness.
1,2,"00:13:30,184","00:13:33,904",3.72,175,But you have a pretty big one.
1,2,"00:13:37,107","00:13:39,437",2.33,176,You cannot get out of here alive without my help.
1,2,"00:13:40,194","00:13:42,114",1.92,177,You will die if they find out who you are.
