season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,3,"00:00:49,382","00:00:52,512",3.13,1,I forbid anyone from opening his gate of energy!
1,3,"00:00:59,684","00:01:00,694",1.01,2,Wait!
1,3,"00:01:03,063","00:01:05,113",2.05,3,You cannot just leave like this.
1,3,"00:01:05,690","00:01:07,400",1.71,4,What about this child?
1,3,"00:01:07,942","00:01:11,282",3.34,5,Think about what people will say about Do-hwa and this baby.
1,3,"00:01:11,821","00:01:16,992",5.17,6,They will say he is not your son and call him an illegitimate child.
1,3,"00:01:17,744","00:01:21,464",3.72,7,He will be raised by the Jang family since my wife gave birth to him.
1,3,"00:01:22,082","00:01:24,502",2.42,8,I will send someone over after his mother's funeral.
1,3,"00:01:24,584","00:01:26,044",1.46,9,Are you abandoning this child?
1,3,"00:01:27,420","00:01:30,880",3.46,10,Is he really not your son?
1,3,"00:01:33,301","00:01:35,471",2.17,11,Believe what you wish to believe.
1,3,"00:01:38,264","00:01:42,308",4.04,12,"If this child is only going to cause trouble, let us just end his life here and now."
1,3,"00:01:52,028","00:01:54,488",2.46,13,See? He is your son.
1,3,"00:01:54,572","00:01:59,412",4.84,14,A son you are willing to protect even at the risk of your own life.
1,3,"00:01:59,994","00:02:01,754",1.76,15,I am merely trying to keep him safe.
1,3,"00:02:03,456","00:02:06,786",3.33,16,"If his gate of energy remains closed and he lives as my son, he will live."
1,3,"00:02:07,293","00:02:13,676",6.38,17,"However, if he chooses to discover his fate instead, he will not survive."
1,3,"00:02:15,760","00:02:20,852",5.09,18,Who is the father of that child?
1,3,"00:02:25,395","00:02:27,515",2.12,19,He is the son of a dead man.
1,3,"00:02:31,025","00:02:35,953",4.93,20,"Not only does his birth make no sense, but it never should have happened either."
1,3,"00:02:41,452","00:02:43,712",2.26,21,"Young Master, are you all right?"
1,3,"00:02:44,455","00:02:46,825",2.37,22,Why did you bring her out?
1,3,"00:02:46,916","00:02:48,166",1.25,23,Let her go.
1,3,"00:03:17,071","00:03:19,161",2.09,24,I apologize for causing trouble.
1,3,"00:03:19,240","00:03:21,410",2.17,25,Why did you bring her out?
1,3,"00:03:24,287","00:03:27,117",2.83,26,She tried to poison you.
1,3,"00:03:27,707","00:03:29,707",2.00,27,She did not poison me.
1,3,"00:03:30,919","00:03:32,379",1.46,28,I poisoned myself.
1,3,"00:03:34,964","00:03:38,724",3.76,29,I did it because I hated that I was incapable of casting spells.
1,3,"00:03:39,469","00:03:42,349",2.88,30,My maid only risked her life by doing what she was told to do.
1,3,"00:03:43,640","00:03:45,430",1.79,31,It was all my doing.
1,3,"00:03:53,983","00:03:57,033",3.05,32,"Jang Uk, how could you?"
1,3,"00:03:53,983","00:03:57,033",3.05,33,Please save it for another time.
1,3,"00:03:57,111","00:04:00,911",3.80,34,He still has not recovered from the poison.
1,3,"00:04:00,990","00:04:04,490",3.50,35,"Punish him all you want, but wait until he has fully recovered."
1,3,"00:04:04,577","00:04:06,367",1.79,36,Uk almost died just now.
1,3,"00:04:06,454","00:04:08,714",2.26,37,Please do not scold him like that.
1,3,"00:04:08,790","00:04:10,460",1.67,38,Look at how pale he is.
1,3,"00:04:12,460","00:04:13,920",1.46,39,Take him home for now.
1,3,"00:04:14,003","00:04:16,133",2.13,40,"Young Master, let us go."
1,3,"00:04:16,214","00:04:18,014",1.80,41,Go to Sejukwon and receive treatment.
1,3,"00:04:18,091","00:04:19,631",1.54,42,Mu-deok needs to go too.
1,3,"00:04:20,218","00:04:21,798",1.58,43,Now is not the time.
1,3,"00:04:21,886","00:04:23,806",1.92,44,Mu-deok needs to get treatment too.
1,3,"00:04:23,888","00:04:25,468",1.58,45,"Otherwise, I will not go."
1,3,"00:04:25,556","00:04:26,766",1.21,46,Young Master.
1,3,"00:04:26,849","00:04:28,939",2.09,47,Fine. Go ahead and die!
1,3,"00:04:29,018","00:04:31,898",2.88,48,Lock them back up!
1,3,"00:04:29,018","00:04:31,898",2.88,49,"Calm down, Uncle."
1,3,"00:04:31,980","00:04:34,070",2.09,50,"If Uk is right, that maid did nothing wrong."
1,3,"00:04:34,899","00:04:36,029",1.13,51,She is severely injured.
1,3,"00:04:36,693","00:04:38,283",1.59,52,"Without treatment, she could die."
1,3,"00:04:38,361","00:04:41,611",3.25,53,I am surprised she is still alive even after all those beatings.
