season,episode,number_line,timecode_in,timecode_out,text
1,2,1,00:00:36:15,00:00:39:17,20 YEARS AGO
1,2,2,00:00:41:11,00:00:43:03,My lady…
1,2,3,00:00:45:15,00:00:47:12,My lady…
1,2,4,00:00:56:04,00:00:57:18,My lady…
1,2,5,00:01:01:16,00:01:03:19,I shall make Do-hwa mine.
1,2,6,00:01:03:21,00:01:06:11,"If she bears a child,
know that it is mine."
1,2,7,00:01:12:13,00:01:14:07,My lady…
1,2,8,00:01:15:05,00:01:16:13,My lord.
1,2,9,00:01:16:15,00:01:18:04,"Where are you going, my lord?"
1,2,10,00:01:28:22,00:01:30:14,I heard about Do-hwa.
1,2,11,00:01:31:04,00:01:32:20,We were just about to head over.
1,2,12,00:01:32:22,00:01:36:20,"Why are you here
when you should be mourning her?"
1,2,13,00:01:37:12,00:01:40:14,"I came here because this was
the only way to change his fate."
1,2,14,00:02:00:03,00:02:01:03,What are you doing?
1,2,15,00:02:27:05,00:02:29:03,What have you done?
1,2,16,00:02:29:05,00:02:31:07,I have blocked his gate of energy.
1,2,17,00:02:32:02,00:02:34:14,"He will not be able
to learn any spells while he is alive."
1,2,18,00:02:37:18,00:02:41:04,"I forbid anyone from opening
his gate of energy!"
1,2,19,00:02:41:22,00:02:45:23,How could you do this to your son?
1,2,20,00:02:47:20,00:02:49:01,My son?
1,2,21,00:02:58:08,00:03:00:12,Why would he decide my own fate?
1,2,22,00:03:01:20,00:03:04:00,"No one even considers him
as my true father anyway!"
1,2,23,00:03:04:20,00:03:05:24,I will find someone.
1,2,24,00:03:06:15,00:03:08:11,A master who will open my gate of energy
1,2,25,00:03:08:13,00:03:10:13,and teach me how to practice spells.
1,2,26,00:03:11:12,00:03:13:08,I will find someone myself.
1,2,27,00:03:14:14,00:03:17:00,"Then I will take out that sword
and break it in two."
1,2,28,00:03:22:05,00:03:26:01,"I have met a total of 12 masters
and have been kicked out every time."
1,2,29,00:03:27:20,00:03:31:06,"And finally, I have met the master
who will change my fate."
1,2,30,00:03:42:22,00:03:44:17,I knew the moment I saw you.
1,2,31,00:03:46:11,00:03:47:21,You are my master.
1,2,32,00:03:58:18,00:04:02:06,"Did you find something special about me,"
1,2,33,00:04:02:09,00:04:03:10,Young Master?
1,2,34,00:04:06:09,00:04:08:06,I told you that you have beautiful eyes.
1,2,35,00:04:08:08,00:04:10:16,"Right, sorry.
Only your eyes are beautiful."
1,2,36,00:04:12:08,00:04:14:20,"The soul shifter's blue mark
has bloomed inside them."
1,2,37,00:04:16:14,00:04:18:12,So the mark was inside my eyes.
1,2,38,00:04:22:22,00:04:24:04,You are going to fight me?
1,2,39,00:04:24:06,00:04:25:24,Killing you would be a breeze.
1,2,40,00:04:26:13,00:04:27:21,But this is Songrim.
1,2,41,00:04:28:15,00:04:30:00,You will get caught.
1,2,42,00:04:42:13,00:04:44:15,I am planning to save you.
1,2,43,00:04:44:17,00:04:47:18,"You will not get caught
if you stay by my side."
1,2,44,00:05:01:17,00:05:03:23,"How should you address me
if you want to lie low?"
1,2,45,00:05:06:10,00:05:07:18,"""Young Master."""
1,2,46,00:05:20:22,00:05:21:22,Jang Uk?
1,2,47,00:05:22:14,00:05:23:19,"Yes, it is me."
1,2,48,00:05:24:07,00:05:25:18,Why are you here?
1,2,49,00:05:29:12,00:05:30:13,And who is she?
1,2,50,00:05:31:22,00:05:32:18,Right.
1,2,51,00:05:34:01,00:05:36:00,"She is Mu-deok, my maid."
1,2,52,00:05:38:15,00:05:39:20,Mu-deok?
1,2,53,00:05:42:12,00:05:46:18,"Yul, you startled her.
Can you put your blade down?"
1,2,54,00:05:47:15,00:05:48:19,Right.
1,2,55,00:05:51:15,00:05:53:13,"Mu-deok, are you all right?"
1,2,56,00:05:56:09,00:05:57:10,Mu-deok.
1,2,57,00:05:59:22,00:06:01:20,"I am fine, Young Master."
1,2,58,00:06:02:10,00:06:03:08,Good.
1,2,59,00:06:04:07,00:06:05:09,Uk?
1,2,60,00:06:06:03,00:06:07:01,Hey.
1,2,61,00:06:08:10,00:06:10:24,Hold on. Why are you here?
1,2,62,00:06:11:01,00:06:14:15,"I came to visit the leader.
We took refuge here after hearing a fight."
1,2,63,00:06:15:08,00:06:18:03,"There were intruders.
You cannot even fight."
1,2,64,00:06:18:05,00:06:21:02,"Jeez. Thank goodness
they did not spot you."
1,2,65,00:06:21:04,00:06:22:15,No.
1,2,66,00:06:22:17,00:06:25:01,It was wise of you to hide here.
1,2,67,00:06:25:03,00:06:28:08,"My maid ran away,
so I just followed her, you…"
1,2,68,00:06:28:10,00:06:29:16,"Gosh, that hurts…"
1,2,69,00:06:30:10,00:06:32:03,Who is she?
1,2,70,00:06:37:04,00:06:38:12,What is with that blade?
1,2,71,00:06:45:05,00:06:46:01,You…
1,2,72,00:06:49:07,00:06:51:05,Were you trying to protect him with that?
1,2,73,00:06:52:04,00:06:53:24,I am proud of you.
1,2,74,00:06:54:00,00:06:57:08,"That is right. Your young master
is extremely weak,"
1,2,75,00:06:57:10,00:06:59:08,so you need to protect him.
1,2,76,00:07:01:12,00:07:02:16,Of course.
1,2,77,00:07:02:18,00:07:04:24,I ought to protect my young master.
1,2,78,00:07:06:00,00:07:08:07,"No, that is not true."
1,2,79,00:07:09:13,00:07:12:08,I should protect you instead.
1,2,80,00:07:13:20,00:07:15:03,What is with the strong grip?
1,2,81,00:07:15:22,00:07:16:24,Let go.
1,2,82,00:07:25:00,00:07:28:14,Mudeoki! You should not glare like that!
1,2,83,00:07:29:07,00:07:30:12,You should look down.
1,2,84,00:07:32:24,00:07:35:09,"Yes, Young Master."
1,2,85,00:07:36:16,00:07:38:23,So you were the one who ran away from me.
1,2,86,00:07:39:00,00:07:40:08,"Mu-deok, was it?"
1,2,87,00:07:41:07,00:07:42:20,I am sorry to have startled you.
1,2,88,00:07:55:02,00:07:56:16,Are you injured?
1,2,89,00:08:09:13,00:08:10:14,Mu-deok.
1,2,90,00:08:11:11,00:08:13:23,"I am fine, Young Master."
1,2,91,00:08:16:23,00:08:19:01,"-Has the dust settled?
-No."
1,2,92,00:08:19:03,00:08:20:07,It is still chaotic.
1,2,93,00:08:20:21,00:08:22:20,"Soul Shifter Naksu's body
has gone missing."
1,2,94,00:08:24:04,00:08:26:20,I knew it. They were the Danju's men.
1,2,95,00:08:26:22,00:08:29:12,"Now, I just need
to get out of here safely."
1,2,96,00:08:30:05,00:08:31:24,What a pity.
1,2,97,00:08:32:18,00:08:33:24,The soul shifter.
1,2,98,00:08:34:01,00:08:36:02,"Naksu, the Shadow Assassin."
