season,episode,number_line,timecode_in,timecode_out,text
1,13,85,00:08:17:12,00:08:21:07,"Uk will never manage to find his way
out of this maze-like place."
1,13,86,00:08:22:11,00:08:24:02,He will get lost and get caught.
1,13,87,00:08:26:07,00:08:27:10,"But then again,"
1,13,88,00:08:28:06,00:08:32:07,"maybe he knew he would get lost
and just decided to hide instead."
1,13,89,00:08:35:12,00:08:37:09,You almost fooled me.
1,13,90,00:08:38:11,00:08:39:22,Are you here?
1,13,91,00:08:40:21,00:08:43:13,"I noticed you broke
the water barrier I had made."
1,13,92,00:08:43:15,00:08:45:19,How about I make one with fire this time?
1,13,93,00:08:47:11,00:08:50:01,"If I surround this place with fire,"
1,13,94,00:08:50:03,00:08:53:01,maybe it will get hot enough
1,13,95,00:08:53:15,00:08:55:07,for you to finally show yourself.
1,13,96,00:08:55:09,00:08:59:13,"Try to convince me like you did earlier
instead of trying to blackmail me."
1,13,97,00:09:01:14,00:09:03:18,Why should I when I have nothing to lose?
1,13,98,00:09:04:05,00:09:07:24,"You are a trespasser who came unannounced
and broke the constellation basin."
1,13,99,00:09:08:01,00:09:10:02,"And as the Assistant Gwanju
of Cheonbugwan,"
1,13,100,00:09:10:04,00:09:12:06,it is my duty to get rid of trespassers.
1,13,101,00:09:15:11,00:09:18:06,"You are being too harsh
to a guest who came bearing gifts."
1,13,102,00:09:18:08,00:09:21:20,"Are you angry that we turned
your friend here into stone?"
1,13,103,00:09:21:22,00:09:23:02,What friend?
1,13,104,00:09:23:19,00:09:28:07,"I do not recall seeing anyone else here
other than you, your maid, and myself."
1,13,105,00:09:28:21,00:09:31:04,I see you plan to hide that mass of rock.
1,13,106,00:09:32:01,00:09:33:12,But here is some bad news.
1,13,107,00:09:34:17,00:09:37:12,"- You will get caught.
- That will not happen."
1,13,108,00:09:37:21,00:09:40:21,Because you and your maid will soon die.
1,13,109,00:09:41:19,00:09:43:01,Now show yourself.
1,13,110,00:09:43:12,00:09:44:18,Come on out!
1,13,111,00:10:12:00,00:10:13:18,Did you see it?
1,13,112,00:10:13:20,00:10:16:02,"A bolt of lightning struck
near Cheonbugwan."
1,13,113,00:10:16:04,00:10:18:19,Cheonbugwan is right next to the palace.
1,13,114,00:10:18:21,00:10:21:13,"I must go and see
if everyone is all right."
1,13,115,00:10:21:15,00:10:23:11,That bolt of lightning was enormous.
1,13,116,00:10:23:13,00:10:26:02,I do hope Jin Mu got hit by it.
1,13,117,00:10:41:07,00:10:42:15,It is a pity.
1,13,118,00:10:43:11,00:10:46:02,"I bet you came here elated,"
1,13,119,00:10:46:04,00:10:48:09,hoping to become the Gwanju one day.
1,13,120,00:10:48:12,00:10:50:01,"But instead, your death awaits."
1,13,121,00:10:50:03,00:10:52:00,You are one unlucky man.
1,13,122,00:10:53:12,00:10:54:24,That is too bad.
1,13,123,00:10:55:03,00:10:56:07,"If I were to die,"
1,13,124,00:10:56:09,00:10:58:15,you would have easily become the Gwanju.
1,13,125,00:10:58:17,00:11:00:07,"However, that will not happen."
1,13,126,00:11:00:09,00:11:01:12,What?
1,13,127,00:11:03:23,00:11:05:18,Have you heard of the yin-and-yang jade?
1,13,128,00:11:07:03,00:11:09:15,"It consists of
a pair of red and blue jade."
1,13,129,00:11:09:17,00:11:12:07,"If you fill one with energy,
the other reacts to it."
1,13,130,00:11:12:09,00:11:13:20,"If they are close by,"
1,13,131,00:11:14:12,00:11:16:16,"the two will find each other
no matter what."
1,13,132,00:11:17:20,00:11:18:21,What about that?
1,13,133,00:11:18:24,00:11:20:14,"Of the two,"
1,13,134,00:11:21:04,00:11:23:06,"the blue jade is
in the Crown Prince's possession."
1,13,135,00:11:25:05,00:11:26:08,That is a nice jade.
1,13,136,00:11:26:10,00:11:28:24,I got it in exchange for ten gold toads.
1,13,137,00:11:29:01,00:11:30:08,Is it something valuable?
1,13,138,00:11:32:05,00:11:34:00,So what if he has that?
1,13,139,00:11:34:02,00:11:36:08,I had the other red jade.
1,13,140,00:11:36:10,00:11:39:02,"I filled it with energy,
which means the Crown Prince"
1,13,141,00:11:39:20,00:11:41:13,is on his way here to find it.
1,13,142,00:11:51:08,00:11:53:04,Are you going to kill me and take it?
1,13,143,00:11:54:11,00:11:57:07,"I figured you would do that,
so I hid it somewhere else."
1,13,144,00:11:59:16,00:12:02:03,"I filled the red jade
with energy and hid it"
1,13,145,00:12:02:05,00:12:04:07,"inside the robe
of the eunuch that ran wild."
1,13,146,00:12:13:22,00:12:17:19,"The Crown Prince is
probably on his way to that mass of rock."
1,13,147,00:12:20:24,00:12:23:11,"Imagine how he would react
when he sees that body."
1,13,148,00:12:24:05,00:12:26:23,"Gosh, he will get quite the shock."
1,13,149,00:12:39:07,00:12:40:10,Cheonbugwan.
1,13,150,00:12:42:21,00:12:45:00,Jang Uk is somewhere inside Cheonbugwan.
1,13,151,00:12:52:09,00:12:54:03,"Rather than killing me,"
1,13,152,00:12:54:21,00:12:57:00,you should go stop the Crown Prince.
1,13,153,00:13:01:14,00:13:03:06,I will be back.
1,13,154,00:13:04:05,00:13:06:20,"You will never be able
to leave this place anyway."
1,13,155,00:13:18:11,00:13:20:16,"- Where did you put Eunuch Kim?
- In the Secret Room."
1,13,156,00:13:20:18,00:13:23:05,"If you give me your order,
I will take his body outside."
1,13,157,00:13:32:21,00:13:34:04,Where…
1,13,158,00:13:37:02,00:13:40:18,"It is not here.
That little punk fooled me again."
1,13,159,00:13:43:14,00:13:45:00,"Assistant Gwanju, sir."
1,13,160,00:13:45:02,00:13:48:00,"I know you ordered not to let anyone in,
but we had no choice."
1,13,161,00:13:48:12,00:13:51:04,What? Is the Crown Prince here?
