season,episode,number_line,timecode_in,timecode_out,text
1,16,1,00:00:35:18,00:00:37:07,What if I do not mind dying?
1,16,2,00:00:38:00,00:00:40:10,"Then can I hold onto it
and keep loving you?"
1,16,3,00:00:42:21,00:00:44:24,"I told you that
I am willing to risk it all"
1,16,4,00:00:45:24,00:00:47:19,and that we are in this together.
1,16,5,00:00:49:02,00:00:51:05,I will keep going no matter what.
1,16,6,00:00:51:07,00:00:55:19,"So you should do the same
and stick to your confession."
1,16,7,00:00:57:08,00:00:59:07,Keep loving me to death.
1,16,8,00:01:13:04,00:01:15:23,"Mu-deok, you should not glare like that."
1,16,9,00:01:16:00,00:01:19:06,"Nobody would believe your words
if you glare at me like that."
1,16,10,00:01:20:10,00:01:21:24,"Then tell me, Young Master."
1,16,11,00:01:22:01,00:01:26:00,"How should I look to convince people
that I love you to death?"
1,16,12,00:01:27:14,00:01:28:20,"Well, first of all…"
1,16,13,00:01:30:06,00:01:32:11,"Glaring at me like that
will definitely not do."
1,16,14,00:01:33:19,00:01:36:03,"They say one's eyes would be
brimming with sweetness."
1,16,15,00:01:38:13,00:01:39:19,I guess that is not possible.
1,16,16,00:01:40:24,00:01:42:23,So why did you say you love me to death?
1,16,17,00:01:43:00,00:01:46:07,"You should have said
you were mildly attracted to me instead."
1,16,18,00:01:47:23,00:01:50:08,"Say that I do my best
to look at you with sweetness"
1,16,19,00:01:50:10,00:01:52:13,and keep loving you to death.
1,16,20,00:01:52:15,00:01:54:17,What happens after that?
1,16,21,00:01:54:19,00:01:56:01,After?
1,16,22,00:01:56:03,00:01:59:00,Should I keep loving you blindly
1,16,23,00:01:59:02,00:02:01:22,"while Maidservant Kim
desperately tries to marry you off?"
1,16,24,00:02:02:24,00:02:06:04,What would happen to me then?
1,16,25,00:02:06:20,00:02:09:24,"Do not worry.
I have no intention of marrying for now."
1,16,26,00:02:10:02,00:02:11:18,"""No intention,"" my foot."
1,16,27,00:02:11:21,00:02:14:17,"Is that not why you refused
to drink chaste herb tea?"
1,16,28,00:02:17:01,00:02:20:05,So what you are asking me is
1,16,29,00:02:20:07,00:02:23:07,a promise of some sort?
1,16,30,00:02:23:09,00:02:25:06,"If I am to stay in love with you,"
1,16,31,00:02:26:10,00:02:28:20,I need to be certain that you are mine.
1,16,32,00:02:31:01,00:02:35:00,Let us not rush into things.
1,16,33,00:02:35:02,00:02:36:00,So you refuse.
1,16,34,00:02:37:23,00:02:40:20,Why is everything so dramatic with you?
1,16,35,00:02:40:22,00:02:43:11,"I am just saying that
we cannot rush things right now."
1,16,36,00:02:43:13,00:02:46:13,"I have to discuss it
with Maidservant Kim too."
1,16,37,00:02:46:15,00:02:47:15,Good grief.
1,16,38,00:02:48:13,00:02:49:09,Never mind then.
1,16,39,00:02:50:11,00:02:52:04,"""Eyes brimming with sweetness,"" my foot."
1,16,40,00:02:52:06,00:02:54:20,I will just glare at you like a dog.
1,16,41,00:02:54:23,00:02:56:00,A dog?
1,16,42,00:02:56:23,00:02:57:24,That is right.
1,16,43,00:02:58:01,00:03:01:12,I forgot to tell you something important.
1,16,44,00:03:02:03,00:03:03:23,It was that dog.
1,16,45,00:03:04:12,00:03:06:01,What are you talking about?
1,16,46,00:03:06:03,00:03:09:09,"The dog that was with Master Lee
at Danhyanggok. Do you remember?"
1,16,47,00:03:10:03,00:03:11:05,Sapsali?
1,16,48,00:03:11:07,00:03:12:16,Yes.
1,16,49,00:03:13:19,00:03:15:00,That dog was Gwigu.
1,16,50,00:03:18:01,00:03:22:16,"Master Lee knew that you were
a soul shifter from the beginning."
1,16,51,00:03:22:18,00:03:23:22,"Perhaps,"
1,16,52,00:03:24:20,00:03:26:15,he even knows you are Naksu.
1,16,53,00:03:40:04,00:03:43:19,"What brings the leader of Jinyowon
to Songrim at this hour?"
1,16,54,00:03:49:06,00:03:50:24,She must be here for you.
1,16,55,00:03:51:24,00:03:53:02,I heard that
1,16,56,00:03:53:04,00:03:56:16,"you took Gwigu, a relic of Jinyowon,
to the palace today."
1,16,57,00:03:56:18,00:03:59:13,"It was to find traces
of sorcery at the palace."
1,16,58,00:03:59:15,00:04:04:03,"I warned you not to get Jinyowon involved
in any more soul shifter cases."
1,16,59,00:04:04:05,00:04:06:09,Why is Songrim using Jinyowon at will?
1,16,60,00:04:08:16,00:04:10:14,Mage families under the Unanimous Assembly
1,16,61,00:04:10:16,00:04:12:08,must strive to stop sorcery.
1,16,62,00:04:12:10,00:04:16:05,"If Songrim is striving to do just that,
Jinyowon should offer their assistance."
1,16,63,00:04:16:19,00:04:18:11,Do you not think so?
1,16,64,00:04:18:13,00:04:21:12,So you mean you will use us again.
1,16,65,00:04:22:05,00:04:25:02,Then I will take Gwigu.
1,16,66,00:04:26:08,00:04:27:13,Hand it over to me.
1,16,67,00:04:28:07,00:04:31:24,Or should I look for it myself?
1,16,68,00:04:32:18,00:04:34:04,Gwigu is right here.
1,16,69,00:04:44:15,00:04:47:20,"Gwigu was a relic created
by Master Seo Gyeong."
1,16,70,00:04:47:22,00:04:49:12,"Therefore, it also belongs to Songrim."
1,16,71,00:04:49:14,00:04:51:21,"Why would Jinyowon's relic
also belong to Songrim?"
1,16,72,00:04:51:23,00:04:55:14,"Are you saying Jinyowon is
some kind of storehouse for Songrim?"
1,16,73,00:04:55:16,00:04:57:10,That is not what he meant.
1,16,74,00:04:57:12,00:05:01:02,"You boldly assume everything
in Jinyowon is yours to take."
1,16,75,00:05:01:04,00:05:03:13,"You take things without asking
and never return them."
1,16,76,00:05:04:03,00:05:05:23,"That must be
how the people of Songrim are."
1,16,77,00:05:08:09,00:05:12:01,You said something similar before.
1,16,78,00:05:13:19,00:05:17:24,"That a mage of Songrim had taken
something from Jinyowon."
1,16,79,00:05:25:12,00:05:26:23,Who was that mage?
1,16,80,00:05:38:03,00:05:40:22,He is right before my eyes.
1,16,81,00:05:41:24,00:05:44:14,The one who snuck into Jinyowon
1,16,82,00:05:44:16,00:05:46:08,and stole Gwigu.
1,16,83,00:05:47:10,00:05:51:18,How dare you call Master Lee a thief!
1,16,84,00:05:51:20,00:05:54:17,What else do you call someone who steals?
1,16,85,00:05:55:08,00:05:57:17,"Mother, please."
1,16,86,00:05:57:19,00:06:01:21,"It was Master Lee who moved Gwigu
from the broken pottery"
1,16,87,00:06:01:23,00:06:03:16,into the body of that dog.
1,16,88,00:06:03:18,00:06:05:14,It was Songrim that broke the pottery.
1,16,89,00:06:05:16,00:06:06:20,How dare you!
1,16,90,00:07:08:13,00:07:10:06,"It is dead, Master."
1,16,91,00:07:14:03,00:07:15:18,I was protecting my daughter.
1,16,92,00:07:15:20,00:07:19:04,"Master Lee, did you command
Gwigu to attack us?"
1,16,93,00:07:19:06,00:07:21:21,Gwigu attacked because it sensed sorcery.
1,16,94,00:07:25:24,00:07:27:07,Then that means
1,16,95,00:07:29:03,00:07:31:02,that the young lady had traces of sorcery.
1,16,96,00:07:39:07,00:07:42:00,"It must have sensed the sorcery
of the worm that sucked her blood."
1,16,97,00:07:48:24,00:07:50:01,Young Lady Jin.
1,16,98,00:07:51:00,00:07:52:03,Have you ever
1,16,99,00:07:52:23,00:07:54:15,used sorcery?
1,16,100,00:08:00:20,00:08:03:00,Sorcery? That is preposterous!
1,16,101,00:08:03:02,00:08:04:08,"If not,"
1,16,102,00:08:04:11,00:08:06:19,why would Gwigu have attacked her?
1,16,103,00:08:07:09,00:08:10:10,"Songrim must be trying
to frame my daughter."
1,16,104,00:08:10:12,00:08:11:24,Please stop!
1,16,105,00:08:12:16,00:08:14:10,Master Lee is right.
1,16,106,00:08:17:24,00:08:19:05,"A while ago,"
1,16,107,00:08:19:24,00:08:23:13,I did use sorcery.
1,16,108,00:08:29:15,00:08:33:09,But it was not meant to hurt anyone.
1,16,109,00:08:41:14,00:08:43:15,It is quite popular these days.
1,16,110,00:08:44:24,00:08:48:14,"It is a Lovers' Charm.
It helps grant one's love."
1,16,111,00:08:54:13,00:08:56:13,I think it was because of that.
1,16,112,00:09:04:01,00:09:07:03,"It seems our daughter has
caused a misunderstanding."
1,16,113,00:09:07:05,00:09:08:07,Our apologies.
1,16,114,00:09:32:01,00:09:35:21,You stayed alive in the body of this dog
1,16,115,00:09:36:19,00:09:38:12,but now you are gone.
1,16,116,00:09:47:06,00:09:50:16,Gwigu has now completely vanished.
1,16,117,00:09:52:16,00:09:54:02,What do I do?
1,16,118,00:09:54:21,00:09:58:14,Is it my fault that Gwigu died?
1,16,119,00:09:58:15,00:09:59:12,Cho-yeon!
1,16,120,00:10:00:06,00:10:02:15,How dare you disgrace Jinyowon?
1,16,121,00:10:27:01,00:10:28:14,Gwigu is dead?
1,16,122,00:10:29:12,00:10:30:13,Yes.
1,16,123,00:10:30:15,00:10:33:11,"Master Lee said he will bury it
in the daylight tomorrow."
1,16,124,00:10:34:22,00:10:36:18,So this dog was Gwigu.
1,16,125,00:10:40:06,00:10:43:03,"It must have known that
I was a soul shifter from the beginning."
1,16,126,00:10:43:23,00:10:46:04,But it never barked at me.
1,16,127,00:10:47:04,00:10:50:15,Was it covering for me too?
1,16,128,00:10:55:05,00:10:56:21,"Even though it is dead, it is still Gwigu."
1,16,129,00:10:57:21,00:11:00:14,"There might still be traces of its powers.
Do not touch it."
1,16,130,00:11:08:21,00:11:11:08,Did the people from Jinyowon leave?
1,16,131,00:11:11:10,00:11:13:01,"They are discussing
another issue right now."
1,16,132,00:11:13:15,00:11:14:15,Another issue?
1,16,133,00:11:15:08,00:11:16:21,It turns out Dang-gu and Cho-yeon
1,16,134,00:11:17:22,00:11:19:02,were lovers.
1,16,135,00:11:20:08,00:11:21:14,"-What?
-What?"
