season,episode,number_line,timecode_in,timecode_out,text
1,11,1,00:00:35:13,00:00:37:23,RECRUITING SERVANTS FOR SONGRIM
1,11,2,00:00:38:00,00:00:39:12,That is not a letter.
1,11,3,00:00:40:13,00:00:41:18,What is there to a letter?
1,11,4,00:00:41:20,00:00:44:21,As long as it delivers your feelings.
1,11,5,00:00:49:19,00:00:52:01,"You must have pitied me
for trying to get in here"
1,11,6,00:00:52:21,00:00:54:09,as a servant.
1,11,7,00:00:55:10,00:00:58:08,"You used to be
an incredibly experienced master."
1,11,8,00:00:58:10,00:01:00:04,I did feel bad for you.
1,11,9,00:01:01:04,00:01:03:15,"I guess I helped you learn
about loyalty and duties."
1,11,10,00:01:03:17,00:01:05:21,"Seeing how far you would go as my master,"
1,11,11,00:01:05:23,00:01:09:04,I did think that I should do my best.
1,11,12,00:01:11:11,00:01:12:21,You must have felt pressured.
1,11,13,00:01:12:23,00:01:15:16,Not really. But I was in a dilemma.
1,11,14,00:01:16:12,00:01:21:07,"I did not know if I should reply
as your young master or pupil."
1,11,15,00:01:21:21,00:01:24:13,Or just reply based on what I read.
1,11,16,00:01:25:16,00:01:27:08,What did you read?
1,11,17,00:01:28:03,00:01:31:24,"Then should I also reply
based on what I read?"
1,11,18,00:01:33:11,00:01:35:00,Also? What do you mean?
1,11,19,00:01:36:01,00:01:37:06,It is written here.
1,11,20,00:01:37:08,00:01:39:19,I will go this far just to see you.
1,11,21,00:01:40:09,00:01:43:16,"""I can do anything
if it means being able to see you."""
1,11,22,00:01:44:07,00:01:45:20,And this is my reply.
1,11,23,00:01:57:02,00:01:58:14,I also missed you.
1,11,24,00:02:02:11,00:02:03:19,That is my reply.
1,11,25,00:02:33:10,00:02:35:06,I will pretend like I did not hear that.
1,11,26,00:02:35:21,00:02:37:07,You should forget about the letter too.
1,11,27,00:02:42:11,00:02:43:24,You cannot get rid of something
1,11,28,00:02:44:19,00:02:46:12,that has already been exchanged.
1,11,29,00:02:49:00,00:02:50:08,It is as good as gone.
1,11,30,00:02:53:01,00:02:54:15,"Once it burns away,"
1,11,31,00:02:55:24,00:02:57:16,there will be nothing left.
1,11,32,00:02:59:01,00:03:01:05,"So you think burning it
will make it disappear?"
1,11,33,00:03:02:03,00:03:03:09,"But know this, Master."
1,11,34,00:03:04:03,00:03:05:12,Your pupil
1,11,35,00:03:06:05,00:03:08:19,"has recently learned to read
what cannot be seen."
1,11,36,00:03:11:01,00:03:14:12,"I told you that I read Words of the Heart.
Do you want to check?"
1,11,37,00:03:16:14,00:03:18:08,You must focus
1,11,38,00:03:18:10,00:03:21:08,"when you are trying to read
what you cannot see."
1,11,39,00:03:22:17,00:03:23:20,And then…
1,11,40,00:03:27:05,00:03:29:08,call out the name of the receiver.
1,11,41,00:03:31:21,00:03:32:24,Mu-deok.
1,11,42,00:03:34:17,00:03:36:16,This is a clear and dangerous signal.
1,11,43,00:03:37:10,00:03:40:07,I am in love with this man.
1,11,44,00:03:43:14,00:03:44:24,There. I read you.
1,11,45,00:03:46:12,00:03:48:21,"Some things are hard to see
because they are hidden,"
1,11,46,00:03:48:23,00:03:50:01,not because they do not exist.
1,11,47,00:03:55:07,00:03:58:04,"Just as you saw my blue mark
and found out I was a soul shifter,"
1,11,48,00:03:59:20,00:04:01:09,you have once again caught me.
1,11,49,00:04:03:06,00:04:05:04,You have found another weakness of mine.
1,11,50,00:04:05:06,00:04:07:02,"If you must call that a weakness,"
1,11,51,00:04:07:24,00:04:09:08,then it is my weakness too.
1,11,52,00:04:11:09,00:04:13:17,"You sent me a letter,
and I sent you a reply."
1,11,53,00:04:13:19,00:04:15:11,So we both share that weakness.
1,11,54,00:04:16:19,00:04:20:06,"I guess I would not mind
having you share a weakness."
1,11,55,00:04:22:19,00:04:25:04,"Honestly, I felt anxious
while we were apart."
1,11,56,00:04:25:21,00:04:27:22,"You finally had what you always wanted,"
1,11,57,00:04:28:12,00:04:32:17,"and I had no power to do anything
even if you chose to betray me."
1,11,58,00:04:33:08,00:04:36:23,"I even thought to myself that
I should have poisoned you"
1,11,59,00:04:37:00,00:04:38:19,and found something to blackmail you with.
1,11,60,00:04:40:04,00:04:41:07,"But Uk,"
1,11,61,00:04:42:18,00:04:45:07,"it seems you have
already poisoned yourself."
1,11,62,00:04:46:22,00:04:48:00,Poison?
1,11,63,00:04:48:01,00:04:50:05,You will become weak and miserable.
1,11,64,00:04:50:17,00:04:53:06,"It is a terrible poison you cannot escape,"
1,11,65,00:04:54:05,00:04:56:08,"as its only antidote is
the person it is from."
1,11,66,00:04:56:10,00:04:59:00,"Are you saying
the reason I missed you so much"
1,11,67,00:04:59:22,00:05:01:13,was that I was poisoned?
1,11,68,00:05:02:11,00:05:03:13,Yes.
1,11,69,00:05:04:04,00:05:06:15,"You were cruelly poisoned
by a dangerous assassin."
1,11,70,00:05:07:06,00:05:08:14,Think of it as that.
