season,episode,line,start_time,end_time,text
1,1,93,00:13:33:01,00:13:34:19,"A beautiful name, is it not?"
1,1,94,00:13:35:24,00:13:37:00,Kill her.
1,1,95,00:13:39:12,00:13:40:09,Shoot!
1,1,96,00:16:38:16,00:16:40:03,Do not let her get away.
1,1,97,00:16:40:19,00:16:42:07,"-Capture her.
-Yes, my lord!"
1,1,98,00:16:55:04,00:16:56:22,Let us go that way. Follow me.
1,1,99,00:17:07:11,00:17:08:17,Over there!
1,1,100,00:17:58:19,00:18:00:04,I will not die like this.
1,1,101,00:18:00:24,00:18:02:05,I cannot.
1,1,102,00:18:11:01,00:18:15:03,"Goodness, you are so impatient.
I am coming."
1,1,103,00:18:31:05,00:18:32:12,What do you want?
1,1,104,00:18:35:14,00:18:37:18,"Oh, my goodness!"
1,1,105,00:19:02:10,00:19:03:18,TAVERN
1,1,106,00:19:11:07,00:19:12:12,She is dead.
1,1,107,00:19:33:20,00:19:35:13,She does not have the blue mark.
1,1,108,00:19:39:08,00:19:41:23,"This blue mark proves that
her soul has left this body."
1,1,109,00:19:43:08,00:19:44:20,Does that mean she failed
1,1,110,00:19:45:24,00:19:47:08,to enter another body?
1,1,111,00:20:16:06,00:20:21:02,SONGRIM
1,1,112,00:20:24:13,00:20:25:11,One.
1,1,113,00:20:27:22,00:20:28:18,Two.
1,1,114,00:20:30:13,00:20:31:14,Three.
1,1,115,00:20:50:22,00:20:53:11,"Yul, come here."
1,1,116,00:20:57:16,00:20:59:05,Is she Naksu?
1,1,117,00:21:00:01,00:21:01:00,Yes.
1,1,118,00:21:02:10,00:21:05:13,"This mark shows that
her soul has left the body."
1,1,119,00:21:06:03,00:21:09:00,"Remember this mark.
When someone tries to switch bodies,"
1,1,120,00:21:09:02,00:21:12:20,"it leaves a blue bruise like this
right on top of their heart."
1,1,121,00:21:13:23,00:21:16:20,Does that mean her soul escaped her body?
1,1,122,00:21:16:22,00:21:20:10,"She seems to have tried,
but I think she failed."
1,1,123,00:21:21:03,00:21:23:09,"This proves that her soul
has escaped her body,"
1,1,124,00:21:23:11,00:21:27:07,"but we found no signs of her soul
having entered another body."
1,1,125,00:21:37:10,00:21:39:19,"-It is a whistle.
-A whistle?"
1,1,126,00:21:39:22,00:21:42:18,"I once had a similar one myself
back when I had a pet bird."
1,1,127,00:21:44:18,00:21:47:03,Did she have a pet bird?
1,1,128,00:21:47:05,00:21:49:05,I think she had it for quite a while.
1,1,129,00:21:50:00,00:21:51:20,It looks like it is an important item.
1,1,130,00:21:52:16,00:21:55:19,"She may have been an assassin
who killed people like it was nothing,"
1,1,131,00:21:55:21,00:22:00:05,"but she was still human.
She must have had a story of her own."
1,1,132,00:22:08:04,00:22:10:18,"A lot of people have
already seen Naksu's body."
1,1,133,00:22:10:20,00:22:13:01,"Word will spread
about the alchemy of souls."
1,1,134,00:22:13:17,00:22:16:17,"Has it been 20 years
since we have seen a soul shifter?"
1,1,135,00:22:17:06,00:22:18:06,Yes.
1,1,136,00:22:19:08,00:22:22:18,"The last soul shifter ran wild
and ended up killing many people."
1,1,137,00:22:23:18,00:22:27:02,I am worried that might happen again.
1,1,138,00:22:27:16,00:22:30:01,Uncle!
1,1,139,00:22:31:22,00:22:34:16,"Uncle, I heard Naksu was a soul shifter."
1,1,140,00:22:35:05,00:22:37:03,"Master Heo, did you see her too?"
1,1,141,00:22:37:05,00:22:40:17,You seem awfully excited to start rumors.
1,1,142,00:22:40:19,00:22:43:11,"Rumors have already spread.
I came as soon as I heard."
1,1,143,00:22:44:01,00:22:45:22,"-Where did you hear it?
-At Chwiseonru."
1,1,144,00:22:45:24,00:22:47:17,You are a mage of Jeongjingak.
1,1,145,00:22:47:19,00:22:51:14,"But instead of practicing,
you go to bars and listen to rumors."
1,1,146,00:22:53:03,00:22:57:15,"Songrim Jeongjingak is not only a place
for mages to practice their spells,"
1,1,147,00:22:57:17,00:22:59:14,but also a place to gather information.
1,1,148,00:23:00:15,00:23:03:00,"Also, Dang-gu here will"
1,1,149,00:23:03:02,00:23:05:06,follow in your footsteps
1,1,150,00:23:05:08,00:23:07:10,"and become the leader
of the Songrim household."
1,1,151,00:23:07:12,00:23:09:08,He should know his liquor.
1,1,152,00:23:09:10,00:23:10:11,"Now, tell me."
1,1,153,00:23:11:04,00:23:13:11,Which liquor tastes best at Chwiseonru?
1,1,154,00:23:14:10,00:23:17:09,"I do not go there as often anymore
now that Uk is not here."
1,1,155,00:23:17:11,00:23:19:12,"""Uk""? The son of Jang Gang?"
1,1,156,00:23:19:14,00:23:23:23,"Is he not learning how to write
at the village school in Yeongchundang?"
1,1,157,00:23:24:00,00:23:26:02,He got kicked out of there ages ago.
1,1,158,00:23:26:04,00:23:28:02,"Right now, he is in Gisan."
1,1,159,00:23:28:04,00:23:31:22,"I sent him to receive training
from Buddhist Monk Ho-yeong."
1,1,160,00:23:33:09,00:23:37:02,"Uk went to train
at a Buddhist temple this time?"
1,1,161,00:23:38:17,00:23:41:13,"Today, I shall end my training."
1,1,162,00:23:43:01,00:23:45:17,You have not even finished your training.
1,1,163,00:23:45:19,00:23:48:23,"How dare you decide
to end the training without my permission."
1,1,164,00:23:49:00,00:23:50:09,"You asked me to expand my knowledge,"
1,1,165,00:23:50:11,00:23:53:07,"so I read and memorized
hundreds of spell books."
1,1,166,00:23:53:09,00:23:55:03,"You asked me to train my mind,"
1,1,167,00:23:55:05,00:23:57:19,"so I patiently sharpened
hundreds of swords."
1,1,168,00:23:57:21,00:24:01:19,"However, you never taught me
any kind of spell."
1,1,169,00:24:02:09,00:24:04:18,The only lesson I learned here is that
1,1,170,00:24:04:20,00:24:09:08,"you have no intentions
of teaching me spells at all."
1,1,171,00:24:09:22,00:24:12:09,"Now that I have learned a big lesson,"
1,1,172,00:24:12:11,00:24:14:02,I would like to end it and leave.
1,1,173,00:24:14:15,00:24:17:20,"The leader of Songrim asked me
to keep you here for three years."
1,1,174,00:24:17:22,00:24:21:05,"I know you are building a sanctuary
with the money I paid you in advance."
1,1,175,00:24:21:07,00:24:24:04,"I will not ask for a refund,
so I hope it is successfully built."
1,1,176,00:24:26:07,00:24:29:07,"Where do you think you are going?
I never said you could leave!"
1,1,177,00:24:31:04,00:24:34:14,"Did it sound like
I was asking for your permission?"
1,1,178,00:24:37:04,00:24:39:06,"You were conceived
through your mother's affair"
1,1,179,00:24:39:08,00:24:41:00,and were abandoned by your father.
