"season","episode","number_line","timecode_in","timecode_out","text"
"1","4","87","00:08:16:04","00:08:18:02","So why are you not bringing him hot water?"
"1","4","88","00:08:20:19","00:08:22:06","Is he running a fever?"
"1","4","89","00:08:24:02","00:08:25:06","Young Master."
"1","4","90","00:08:30:11","00:08:31:11","That is so cold."
"1","4","91","00:08:32:04","00:08:33:18","How could you let this happen?"
"1","4","92","00:08:33:21","00:08:35:07","What if he catches a cold?"
"1","4","93","00:08:42:03","00:08:45:01","The boiling hot water became ice-cold."
"1","4","94","00:08:45:03","00:08:46:05","Young Master."
"1","4","95","00:08:47:19","00:08:49:01","Where did he go?"
"1","4","96","00:08:49:23","00:08:50:21","Goodness."
"1","4","97","00:08:54:20","00:08:57:07","Young Master, are you all right?"
"1","4","98","00:08:57:24","00:08:59:05","Yes."
"1","4","99","00:08:59:07","00:09:02:13","Bathing in medicinal herbs
has made me relaxed but drowsy."
"1","4","100","00:09:05:08","00:09:07:21","Come on, now. Go on and make his bed."
"1","4","101","00:09:09:04","00:09:12:11","It is the cold. His body is freezing now."
"1","4","102","00:09:18:17","00:09:21:19","I am freezing.
I think I am covered in ice."
"1","4","103","00:09:22:17","00:09:26:09","It is the cold. Your energy
is surging faster than I thought."
"1","4","104","00:09:27:16","00:09:28:20","Keep breathing."
"1","4","105","00:09:54:12","00:09:55:24","I am freezing. I think I might faint."
"1","4","106","00:09:58:04","00:10:00:06","Fight it. You must."
"1","4","107","00:10:02:16","00:10:05:04","Jang Uk! Stay alert."
"1","4","108","00:10:05:06","00:10:07:01","You could freeze to death
if you fall asleep now."
"1","4","109","00:10:07:03","00:10:08:06","Get up."
"1","4","110","00:10:10:20","00:10:12:01","Keep breathing."
"1","4","111","00:10:23:00","00:10:26:13","Uncle, Yul and I
are the only friends Uk has."
"1","4","112","00:10:26:15","00:10:29:03","He has nowhere but Songrim to call home."
"1","4","113","00:10:29:05","00:10:32:00","Please let him return to Songrim."
"1","4","114","00:10:32:02","00:10:33:19","He will not be able to train anyway."
"1","4","115","00:10:34:07","00:10:35:24","No one will take him in"
"1","4","116","00:10:36:01","00:10:38:08","once they find out
he has been ousted from Songrim."
"1","4","117","00:10:39:22","00:10:41:19","Stop talking about Uk."
"1","4","118","00:10:41:21","00:10:45:02","I want you to focus
on the soul shifter case from now on."
"1","4","119","00:10:53:23","00:10:56:06","He has completely hardened like stone."
"1","4","120","00:10:57:13","00:10:58:22","He has been petrified."
"1","4","121","00:11:02:09","00:11:03:19","A soul shifter who has run wild"
"1","4","122","00:11:03:21","00:11:07:00","replaces their lost energy
by absorbing that of a human."
"1","4","123","00:11:09:06","00:11:11:07","He is no different from an evil spirit."
"1","4","124","00:11:11:09","00:11:14:00","I can see why you forbid this sorcery."
"1","4","125","00:11:14:02","00:11:16:24","The alchemy of souls
was not a type of sorcery from the start."
"1","4","126","00:11:17:13","00:11:19:04","You can only perform this"
"1","4","127","00:11:19:06","00:11:22:17","once you have mastered Jipsu, Ryusu,
Chisu, and ultimately, Hwansu."
"1","4","128","00:11:22:19","00:11:24:06","Hwansu is the godlike power"
"1","4","129","00:11:24:08","00:11:27:19","of changing water
to fire and vice versa. Is it not?"
"1","4","130","00:11:27:21","00:11:30:01","-Humans cannot reach that level.
-Right."
"1","4","131","00:11:30:03","00:11:32:18","But Master Seo Gyeong,
the founder of Songrim, did."
"1","4","132","00:11:32:20","00:11:34:14","There was also someone else."
"1","4","133","00:11:34:16","00:11:35:17","Who?"
"1","4","134","00:11:35:19","00:11:37:17","As if you would know his name."
"1","4","135","00:11:39:03","00:11:41:20","Who dared to perform the alchemy of souls"
"1","4","136","00:11:41:22","00:11:44:14","on this poor Songrim pupil?"
"1","4","137","00:11:44:16","00:11:48:09","He was meant to work at Cheonbugwan
and record the constellations."
"1","4","138","00:11:48:11","00:11:50:17","He had been frequenting
the place for a few months."
"1","4","139","00:11:51:15","00:11:54:05","Right. They were the ones
who caught Naksu's men"
"1","4","140","00:11:54:07","00:11:56:17","whom we had failed to catch
as if they had been waiting."
"1","4","141","00:11:56:19","00:11:59:05","I am certain that
they have something to do"
"1","4","142","00:11:59:07","00:12:01:10","with this soul shifter case."
"1","4","143","00:12:03:09","00:12:06:04","Yul and Dang-gu,
keep an eye on Cheonbugwan"
"1","4","144","00:12:06:06","00:12:08:02","and see if there is anything strange."
"1","4","145","00:12:08:17","00:12:09:13","-Yes, my lord.
-Yes, my lord."
"1","4","146","00:12:12:01","00:12:13:16","What is wrong with that?"
"1","4","147","00:12:13:18","00:12:16:00","It has been malfunctioning
ever since Uk broke it."
"1","4","148","00:12:17:01","00:12:19:03","-Jang Uk…
-Do not move!"
"1","4","149","00:12:19:21","00:12:21:01","It will crumble."
"1","4","150","00:12:24:12","00:12:25:20","Do not move."
"1","4","151","00:12:26:10","00:12:28:03","Wait until the door completely shuts."
"1","4","152","00:12:29:05","00:12:30:01","Jang Uk!"
"1","4","153","00:12:30:15","00:12:33:12","I told you not to move!"
"1","4","154","00:12:33:14","00:12:35:08","Help me!"
"1","4","155","00:12:37:11","00:12:38:14","Stay still."
"1","4","156","00:12:39:24","00:12:41:00","Jang Uk…"
"1","4","157","00:13:12:08","00:13:14:06","Stay down for a moment."
"1","4","158","00:13:32:21","00:13:34:01","Sapsali."
"1","4","159","00:13:35:01","00:13:36:05","Come out."
"1","4","160","00:13:36:23","00:13:38:16","Come with me."
"1","4","161","00:14:23:03","00:14:24:23","I am glad you are back."
"1","4","162","00:14:28:15","00:14:32:21","I will reward you with delicious treats
if you find the soul shifters."
"1","4","163","00:14:32:23","00:14:34:11","I hope we get along."
"1","4","164","00:15:04:16","00:15:05:19","Mu-deok."
"1","4","165","00:15:07:16","00:15:09:09","If I freeze to death,"
"1","4","166","00:15:10:23","00:15:12:15","take the torrent of energy…"
"1","4","167","00:15:14:20","00:15:16:23","within me if you can."
"1","4","168","00:15:18:05","00:15:21:02","If I could, I would have killed you
and done that already."
"1","4","169","00:15:24:00","00:15:25:16","I am freezing to death here."
"1","4","170","00:15:27:06","00:15:29:06","Do not say such coldhearted things."
"1","4","171","00:15:31:06","00:15:32:19","Say something heartwarming."
"1","4","172","00:15:33:08","00:15:35:10","Have you finally gone mad?"
"1","4","173","00:15:35:12","00:15:36:20","What is with you?"
"1","4","174","00:15:41:16","00:15:43:18","Jang Uk. Open your eyes."
"1","4","175","00:15:44:13","00:15:47:11","Fine. I will say something heartwarming."
"1","4","176","00:15:50:09","00:15:53:20","There was a huge tree
where I used to live."
"1","4","177","00:15:55:18","00:15:58:15","And there was a bird's nest on top."
"1","4","178","00:15:59:07","00:16:01:01","The egg inside it was warm."
"1","4","179","00:16:02:13","00:16:03:23","Did you eat it?"
"1","4","180","00:16:04:23","00:16:06:23","I said this would be heartwarming."
"1","4","181","00:16:12:07","00:16:14:24","The mother bird always came by
and sat on the egg."
"1","4","182","00:16:19:10","00:16:23:21","I am the egg
that is at the top of the tree."
"1","4","183","00:16:27:06","00:16:28:21","I know no one…"
"1","4","184","00:16:30:19","00:16:32:16","and I am powerless."
"1","4","185","00:16:36:20","00:16:39:10","You are the only one
who can take care of me."
"1","4","186","00:16:43:11","00:16:44:17","My life…"
"1","4","187","00:16:46:00","00:16:47:20","is in your hands."
"1","4","188","00:16:55:07","00:16:56:14","How heartwarming."
"1","4","189","00:17:02:18","00:17:04:00","Keep going."
"1","4","190","00:17:08:11","00:17:11:12","There was also a cave where I lived."
"1","4","191","00:17:13:19","00:17:16:01","A bear cub was living inside…"
"1","4","192","00:17:47:01","00:17:49:10","You cannot even take out
your own father's sword."
"1","4","193","00:17:49:13","00:17:51:06","How do you expect to learn spells?"
"1","4","194","00:17:53:00","00:17:55:12","No one in Daeho will be able
to go against your father"
"1","4","195","00:17:55:14","00:17:57:17","and open your gate of energy."
"1","4","196","00:17:57:19","00:18:00:14","That was the fate given to you"
"1","4","197","00:18:01:14","00:18:03:04","by your father."
"1","4","198","00:18:24:13","00:18:25:17","You are not ready yet."
"1","4","199","00:18:31:24","00:18:34:11","To unsheathe a mage's sword,"
"1","4","200","00:18:35:01","00:18:38:04","you must master Ryusu and be able
to channel your energy outward."
"1","4","201","00:18:38:23","00:18:42:04","You cannot do it just yet
since you cannot control your energy."
"1","4","202","00:18:42:22","00:18:45:19","My father left this sword behind
when he abandoned me."
"1","4","203","00:18:45:21","00:18:48:02","And I can only join Songrim
if I unsheathe it."
"1","4","204","00:18:50:20","00:18:52:22","I want to unsheathe it and show them."
"1","4","205","00:18:54:03","00:18:55:11","Is that an act of stupidity?"
"1","4","206","00:18:55:13","00:18:56:21","No, it is an act of vigor."
"1","4","207","00:18:59:02","00:19:01:24","Stay strong, Jang Uk."
"1","4","208","00:19:21:00","00:19:22:04","Your Royal Highness."
"1","4","209","00:19:22:06","00:19:24:17","We have arrived at Cheonbugwan's Gwanju,
Jang Gang's house."
"1","4","210","00:19:29:01","00:19:30:06","Young Master!"
"1","4","211","00:19:32:07","00:19:34:16","You have a guest."
"1","4","212","00:19:35:09","00:19:36:07","Who is it?"
"1","4","213","00:19:36:09","00:19:39:16","The Crown Prince has come to see you."
"1","4","214","00:20:01:24","00:20:04:20","This is the perfect weather"
"1","4","215","00:20:04:22","00:20:08:02","to go fishing with Uk
by Lake Gyeongcheondaeho."
"1","4","216","00:20:10:04","00:20:12:23","I wonder if he has recovered
from the flogging."
"1","4","217","00:20:14:13","00:20:16:15","I am going to see him since I am worried."
"1","4","218","00:20:16:17","00:20:18:09","But why are you tagging along?"
"1","4","219","00:20:19:20","00:20:21:04","I need to check something."
"1","4","220","00:20:21:06","00:20:23:09","There is something I told his maid."
"1","4","221","00:20:23:11","00:20:24:07","I see."
"1","4","222","00:20:24:09","00:20:27:00","I understand that
we are visiting him as friends."
"1","4","223","00:20:27:02","00:20:28:17","But why are you here?"
"1","4","224","00:20:29:20","00:20:31:23","I just happened to run into you."
"1","4","225","00:20:32:00","00:20:35:17","And I had something
to nitpick him about. That is why."
"1","4","226","00:20:35:19","00:20:38:07","I see. You are going to nitpick."
"1","4","227","00:20:38:22","00:20:40:11","What is in that bundle?"
"1","4","228","00:20:43:08","00:20:45:12","It is medicine to treat his wounds."
"1","4","229","00:20:46:00","00:20:49:20","I see. You are going to give him
some medicine before nitpicking at him."
"1","4","230","00:20:51:01","00:20:53:08","I see. How incredible."
"1","4","231","00:20:55:09","00:20:57:13","You are here for Naksu's sword?"
"1","4","232","00:20:57:15","00:20:59:13","The King has entrusted
Cheonbugwan with it."
"1","4","233","00:21:00:01","00:21:03:07","Jin Mu, the Assistant Gwanju,
should take it since the Gwanju is absent."
"1","4","234","00:21:07:12","00:21:10:07","Since you came here yourself,
I will hand it over to you."
"1","4","235","00:21:10:09","00:21:11:12","You can take it."
"1","4","236","00:21:12:02","00:21:12:23","Bring it here."
"1","4","237","00:21:14:18","00:21:15:21","And one more thing."
"1","4","238","00:21:16:15","00:21:18:24","There is another sword here
that you cannot unsheathe."
"1","4","239","00:21:20:16","00:21:24:04","The late king had bestowed it
on Gwanju Jang Gang."
"1","4","240","00:21:24:19","00:21:26:09","I would like to take that as well."
"1","4","241","00:21:26:11","00:21:29:06","But that belongs to his father."
"1","4","242","00:21:29:23","00:21:31:16","He has the right to keep it."
"1","4","243","00:21:31:18","00:21:33:07","He was never entrusted with it."
"1","4","244","00:21:34:16","00:21:36:21","I heard Songrim had kept it all this time."
"1","4","245","00:21:36:24","00:21:39:22","You only took it
after being kicked out, did you not?"
"1","4","246","00:21:41:14","00:21:45:02","The royal palace will keep it
until a new Gwanju is instated."
"1","4","247","00:21:46:23","00:21:48:01","Bring it to me."
"1","4","248","00:21:55:09","00:21:56:22","I cannot."
"1","4","249","00:21:58:13","00:22:02:07","As you already know,
no one acknowledges him as my father."
"1","4","250","00:22:03:21","00:22:06:15","It will not bode well for me
if I lose that sword as well."
"1","4","251","00:22:07:18","00:22:10:06","I will keep it, even if it means
using it as decoration."
"1","4","252","00:22:13:21","00:22:15:23","I must take it with me,"
"1","4","253","00:22:16:16","00:22:18:23","but you refuse. It cannot be helped."
"1","4","254","00:22:21:07","00:22:22:24","Whoever wins shall take the sword."
"1","4","255","00:22:41:00","00:22:43:16","You are not fully trained
for a true fight."
"1","4","256","00:22:50:13","00:22:52:17","If you can push me over this line,"
"1","4","257","00:22:53:07","00:22:54:14","I will leave."
"1","4","258","00:23:09:07","00:23:13:23","I am sure you expected me
to grovel in humiliation."
"1","4","259","00:23:15:06","00:23:18:15","Going against you would be
an act of stupidity."
"1","4","260","00:23:18:17","00:23:21:07","However, there is someone
who sees it as one of vigor."
"1","4","261","00:23:21:09","00:23:22:10","So I shall try."
"1","4","262","00:24:15:20","00:24:17:03","It is the energy."
"1","4","263","00:24:17:06","00:24:18:13","It was the flogging."
"1","4","264","00:24:18:15","00:24:20:16","It caused the torrent of energy
to surge faster."
"1","4","265","00:24:21:13","00:24:22:13","I am glad you got flogged."
"1","4","266","00:24:23:04","00:24:26:22","All right. You can hit me
as much as you want."
"1","4","267","00:25:46:00","00:25:47:07","Step back!"
"1","4","268","00:25:47:23","00:25:49:16","Step back! This is from the chamber pots!"
"1","4","269","00:26:02:01","00:26:03:15","What did you just do?"
"1","4","270","00:26:05:00","00:26:05:22","Who is she?"
"1","4","271","00:26:07:07","00:26:10:03","-I serve this young master.
-How dare a maid intervene?"
"1","4","272","00:26:13:21","00:26:15:07","My apologies, Your Royal Highness."
"1","4","273","00:26:15:09","00:26:17:00","My maid was impudent."
"1","4","274","00:26:19:15","00:26:20:13","What is this?"
"1","4","275","00:26:23:08","00:26:25:19","That is disgusting."
"1","4","276","00:26:25:21","00:26:27:21","You should return home and get changed."
"1","4","277","00:26:28:09","00:26:30:13","-What?
-You stepped over the line."
"1","4","278","00:26:33:15","00:26:36:13","You may have stepped back
to avoid the filthy water,"
"1","4","279","00:26:36:15","00:26:37:19","but you still lost."
"1","4","280","00:26:37:22","00:26:41:06","Please keep your word
and let me have my father's sword."
"1","4","281","00:26:42:06","00:26:43:20","As you can see,"
"1","4","282","00:26:43:22","00:26:46:11","I am afraid I cannot see you out
since I am heavily injured."
"1","4","283","00:26:54:03","00:26:55:11","What is going on?"
"1","4","284","00:26:56:11","00:26:57:16","All right."
"1","4","285","00:26:57:18","00:26:59:14","I will keep my promise
and let you have it."
"1","4","286","00:27:00:07","00:27:01:07","However,"
"1","4","287","00:27:02:09","00:27:03:22","I must punish her."
"1","4","288","00:27:09:03","00:27:11:17","I will not forgive her
for tainting my clothes."
"1","4","289","00:28:04:14","00:28:07:03","I unsheathed this sword…"
"1","4","290","00:28:21:04","00:28:22:22","Jang Uk!"
"1","4","291","00:28:22:24","00:28:25:14","I thought you did not know
how to use spells,"
"1","4","292","00:28:25:16","00:28:27:10","but you have been deceiving us all."
"1","4","293","00:28:27:24","00:28:28:20","That is not…"
"1","4","294","00:28:29:11","00:28:31:13","What?"
"1","4","295","00:28:38:15","00:28:40:01","You!"
"1","4","296","00:28:40:03","00:28:42:10","How dare you point
the sword at the Crown Prince?"
"1","4","297","00:28:42:12","00:28:44:17","-No, it was not me.
-Uk! Put that down!"
"1","4","298","00:28:45:17","00:28:47:22","-Put it down right now!
-I want to!"
"1","4","299","00:28:48:11","00:28:49:11","But I cannot!"
"1","4","300","00:29:12:21","00:29:13:24","Stop it this instant!"
"1","4","301","00:29:15:12","00:29:17:04","I have no control!"
"1","4","302","00:29:29:16","00:29:30:16","Jang Uk."
"1","4","303","00:29:31:16","00:29:32:22","Die!"
"1","4","304","00:29:42:19","00:29:43:20","Please stop."
"1","4","305","00:29:52:05","00:29:54:07","-Stop it.
-This is weird. I cannot control my arm."
"1","4","306","00:29:54:09","00:29:55:17","What?"
"1","4","307","00:29:57:03","00:29:59:03","I did not mean to do that…"
"1","4","308","00:29:59:15","00:30:02:00","Goodness! Young Master!"
"1","4","309","00:30:03:06","00:30:04:13","Oh, dear!"
"1","4","310","00:30:09:00","00:30:10:00","It is a binding bracelet."
"1","4","311","00:30:10:02","00:30:12:19","Its weight will keep
your arm under control."
"1","4","312","00:30:19:03","00:30:22:20","His energy overflowed into one arm
and made it uncontrollable."
"1","4","313","00:30:24:11","00:30:25:15","Unbind him!"
"1","4","314","00:30:28:03","00:30:29:04","Jang Uk."
"1","4","315","00:30:30:07","00:30:31:10","Grab your sword."
"1","4","316","00:30:33:15","00:30:34:14","Your Royal Highness."
"1","4","317","00:30:34:16","00:30:36:16","He is no match for you."
"1","4","318","00:30:36:18","00:30:38:08","Did you not just witness it all?"
"1","4","319","00:30:38:10","00:30:40:23","He unsheathed his father's sword
and pointed it at me."
"1","4","320","00:30:41:01","00:30:43:14","He just failed to control his energy."
"1","4","321","00:30:43:16","00:30:46:04","-As you can see, he even hit me.
-Shut it!"
"1","4","322","00:30:48:04","00:30:50:19","Your Royal Highness,
you wielded your sword at him first."
"1","4","323","00:30:51:08","00:30:53:09","The sword you swung in anger broke."
"1","4","324","00:30:53:11","00:30:55:22","You should abide
by the mages' customs and return home."
"1","4","325","00:30:59:00","00:31:01:24","How dare you stand
against the Crown Prince?"
"1","4","326","00:31:04:10","00:31:08:00","Jang, Jin, Seo, and Park.
All four of you are before me."
"1","4","327","00:31:08:23","00:31:11:14","I refuse to go home defeated."
