season,episode,number_line,timecode_in,timecode_out,text
1,18,1,00:00:37:06,00:00:39:16,What an insane thing to do!
1,18,2,00:00:39:18,00:00:43:01,"Is killing and bringing one
back to life entertaining to watch?"
1,18,3,00:00:43:03,00:00:45:00,We cannot even intervene
1,18,4,00:00:45:02,00:00:47:19,because Mu-deok foolishly agreed to it.
1,18,5,00:00:49:02,00:00:50:07,That girl…
1,18,6,00:00:52:19,00:00:54:01,smiled.
1,18,7,00:00:54:03,00:00:56:17,Yes. I will try it.
1,18,8,00:01:01:15,00:01:03:09,She only said yes
1,18,9,00:01:03:12,00:01:06:07,because of the gold she would be getting.
1,18,10,00:01:06:22,00:01:09:02,Could gold really be the reason…
1,18,11,00:01:11:13,00:01:13:15,why she smiled?
1,18,12,00:01:25:17,00:01:27:24,"I am not happy
about this situation either."
1,18,13,00:01:29:01,00:01:31:07,I will make sure you die a painless death.
1,18,14,00:01:31:09,00:01:33:20,This is not to see me die.
1,18,15,00:01:34:22,00:01:37:01,It is to see me come back to life.
1,18,16,00:01:39:07,00:01:43:16,"They will try to buy time with that book
and look for a way to expose you."
1,18,17,00:01:44:05,00:01:46:18,"When she dies
and the ice stone's power is summoned,"
1,18,18,00:01:46:20,00:01:50:11,"use the ice stone's power
to shift your soul into that girl's body."
1,18,19,00:01:50:13,00:01:54:04,"The Unanimous Assembly will come
to an end once the Queen dies."
1,18,20,00:01:55:02,00:01:59:00,"We will safely leave Songrim
with the ice stone."
1,18,21,00:02:01:19,00:02:05:09,"I wonder why His Majesty
chose her of all people."
1,18,22,00:02:05:11,00:02:08:06,She is the weakest one among us.
1,18,23,00:02:08:08,00:02:09:24,He picked the right person.
1,18,24,00:03:18:02,00:03:19:08,You look beautiful.
1,18,25,00:03:20:14,00:03:22:09,My Bu-yeon.
1,18,26,00:03:31:05,00:03:32:08,Mother.
1,18,27,00:04:02:12,00:04:04:21,No one is looking at you right now.
1,18,28,00:04:04:23,00:04:06:17,Use that power to shift souls.
1,18,29,00:04:07:13,00:04:09:02,It is not me.
1,18,30,00:04:09:04,00:04:12:00,"I am not the one controlling
the ice stone."
1,18,31,00:04:12:14,00:04:13:18,Then who?
1,18,32,00:05:00:08,00:05:01:15,You need to stop that.
1,18,33,00:05:13:09,00:05:15:20,"Mother, are you all right?"
1,18,34,00:05:20:00,00:05:21:02,Bu-yeon.
1,18,35,00:05:25:03,00:05:27:17,Did she recognize her? This is not good.
1,18,36,00:05:28:07,00:05:30:05,They are going to bring her back to life.
1,18,37,00:05:30:19,00:05:32:03,That cannot happen.
1,18,38,00:05:32:05,00:05:33:13,She needs to die.
1,18,39,00:06:19:02,00:06:20:08,What is going on?
1,18,40,00:06:20:20,00:06:22:14,Where is the ice stone?
1,18,41,00:06:26:11,00:06:27:14,What just happened?
1,18,42,00:06:40:07,00:06:41:14,Did you see that?
1,18,43,00:06:41:16,00:06:44:20,"The power of the ice stone
and the power of the sky came together."
1,18,44,00:06:44:22,00:06:47:24,"The heavens must have taken the ice stone
and made it disappear."
1,18,45,00:06:49:01,00:06:50:15,It did not disappear.
1,18,46,00:06:55:07,00:06:56:11,It is
1,18,47,00:06:57:10,00:06:58:12,still here.
1,18,48,00:06:58:14,00:07:02:12,Where exactly is it?
1,18,49,00:07:28:00,00:07:32:06,"Lightning, thunder, and now fog
in broad daylight?"
1,18,50,00:07:32:08,00:07:33:23,That is not all.
1,18,51,00:07:34:00,00:07:35:10,Something has gone awry.
1,18,52,00:07:42:17,00:07:45:08,"- The cloth covering the ice stone, right?
- Yes."
1,18,53,00:07:45:10,00:07:46:21,Could something have happened to it?
1,18,54,00:07:48:00,00:07:49:11,Is this a dream or something?
1,18,55,00:07:49:13,00:07:52:15,"- There are flowers everywhere.
- This feels surreal."
1,18,56,00:07:53:08,00:07:55:08,Are we dead?
1,18,57,00:07:55:24,00:07:58:10,"- Are we in utopia?
- Hey."
1,18,58,00:07:58:12,00:08:00:03,Do not speak nonsense.
1,18,59,00:08:00:05,00:08:03:01,"Then would that make me the Jade Emperor,
and him a fairy?"
1,18,60,00:08:04:23,00:08:06:09,A fairy.
1,18,61,00:08:16:08,00:08:17:15,What is that?
1,18,62,00:08:18:12,00:08:19:23,I do not think it is a fairy.
1,18,63,00:08:20:20,00:08:22:00,Then is it a ghost?
1,18,64,00:08:31:03,00:08:33:16,Are you mages?
1,18,65,00:08:34:09,00:08:36:16,"Yes, we are from Jeongjingak."
1,18,66,00:08:40:16,00:08:42:00,"You were here too, Young Lady Heo."
1,18,67,00:08:46:07,00:08:47:14,Please let go of me.
1,18,68,00:08:50:13,00:08:53:19,"Jang Uk, remain here and stand guard."
1,18,69,00:08:54:12,00:08:55:20,You three.
1,18,70,00:08:56:15,00:08:57:15,Patrol the area.
1,18,71,00:08:57:17,00:09:01:09,"- I will head to the Training Center.
- Your Royal Highness, we will escort you."
1,18,72,00:09:04:03,00:09:05:21,What is going on?
1,18,73,00:09:05:24,00:09:07:05,I heard deafening thunder.
1,18,74,00:09:07:07,00:09:09:10,We do not know yet either.
1,18,75,00:09:10:05,00:09:13:05,We will find out soon once this fog lifts.
1,18,76,00:09:13:22,00:09:15:15,"If we are not in utopia or the afterlife,"
1,18,77,00:09:16:05,00:09:18:02,where did all these flowers come from?
1,18,78,00:09:19:04,00:09:20:19,Is this even a real fog?
1,18,79,00:09:56:18,00:09:58:04,What are you doing?
1,18,80,00:09:58:06,00:09:59:04,We do not know what happened.
1,18,81,00:09:59:06,00:10:02:18,"The moment we reached the gate,
a strong gust of wind hit us."
1,18,82,00:10:02:20,00:10:03:23,Wind?
1,18,83,00:10:05:07,00:10:06:14,There is no wind.
1,18,84,00:10:10:05,00:10:12:12,"Do not go there. We cannot see it,"
1,18,85,00:10:12:14,00:10:14:11,but there is great energy blocking us.
1,18,86,00:10:14:13,00:10:16:19,What in the world is going on?
1,18,87,00:10:16:21,00:10:17:21,It is a barrier.
1,18,88,00:10:19:06,00:10:21:23,"I believe there is a barrier
around Jeongjingak."
1,18,89,00:10:22:23,00:10:24:01,A barrier?
1,18,90,00:10:24:03,00:10:25:15,Who would place a barrier here?
1,18,91,00:10:25:17,00:10:26:21,Your Royal Highness.
1,18,92,00:10:29:02,00:10:30:08,Your Royal Highness.
1,18,93,00:10:30:10,00:10:32:17,"A priestess from Jinyowon
is inside Jeongjingak."
1,18,94,00:10:33:11,00:10:35:20,"Jin Bu-yeon,
who had brought the ice stone,"
1,18,95,00:10:35:22,00:10:37:13,was found collapsed in the building.
1,18,96,00:10:48:22,00:10:49:22,Mu-deok.
1,18,97,00:11:06:03,00:11:09:19,The ice stone's energy entered Jeongjingak
1,18,98,00:11:09:21,00:11:11:21,and created a barrier.
1,18,99,00:11:13:08,00:11:15:18,Who is inside Jeongjingak?
1,18,100,00:11:16:16,00:11:18:14,"Jang Uk and Seo Yul
are nowhere to be seen."
1,18,101,00:11:18:16,00:11:19:24,They must be in there.
1,18,102,00:11:20:23,00:11:22:12,Young Lady Heo is inside as well.
1,18,103,00:11:22:14,00:11:25:02,"- My dear Yun-ok!
- The Crown Prince."
1,18,104,00:11:25:04,00:11:26:18,He is in there!
1,18,105,00:11:27:11,00:11:30:23,"- What?
- Was Beom in there as well?"
1,18,106,00:11:31:00,00:11:33:03,Where is Jin-ho?
1,18,107,00:11:34:02,00:11:35:02,Lady Jin.
1,18,108,00:11:35:04,00:11:36:10,Do something.
1,18,109,00:11:36:12,00:11:39:17,"The ice stone swallowed up your daughter,
so she must be in there too."
1,18,110,00:11:40:08,00:11:42:08,We cannot be rash.
1,18,111,00:11:42:10,00:11:45:19,"We all witnessed what happened
after Bu-yeon provoked it."
1,18,112,00:11:47:02,00:11:49:20,This is all Jinyowon's fault.
1,18,113,00:11:51:07,00:11:53:20,"You wanted to see
how powerful the ice stone was."
1,18,114,00:11:53:23,00:11:55:17,Why are you placing the blame on us?
1,18,115,00:11:56:18,00:11:59:07,Are you trying to pick a fight again?
1,18,116,00:11:59:09,00:12:02:01,That is enough. The kids are in there!
1,18,117,00:12:02:03,00:12:03:18,Yun-ok!
1,18,118,00:12:20:22,00:12:23:03,Do you have anything to do
1,18,119,00:12:23:06,00:12:25:24,with the barrier around Jeongjingak?
1,18,120,00:12:26:01,00:12:27:21,What happened back at the Training Center?
1,18,121,00:12:29:04,00:12:30:05,You see…
1,18,122,00:12:39:24,00:12:42:07,"It definitely all happened
because of Mu-deok."
1,18,123,00:12:42:09,00:12:45:19,"After all, she is the real Jin Bu-yeon,
the priestess of Jinyowon."
1,18,124,00:12:46:08,00:12:48:06,But everyone thinks I am her.
1,18,125,00:12:48:08,00:12:50:15,I cannot say that it was because of her.
1,18,126,00:12:50:17,00:12:51:17,What do I do?
1,18,127,00:12:52:13,00:12:53:21,Answer me.
1,18,128,00:12:53:23,00:12:55:04,I…
1,18,129,00:12:56:17,00:12:57:24,Do not know.
1,18,130,00:12:58:01,00:13:01:08,"I am blind,
so I could not see what had happened."
1,18,131,00:13:01:10,00:13:04:03,"I fainted when the wind struck
and just woke up."
1,18,132,00:13:04:06,00:13:06:04,You do not know how you came here?
1,18,133,00:13:06:06,00:13:08:17,"I do not even know where I am,"
1,18,134,00:13:08:19,00:13:11:14,so how am I to know how I came here?
1,18,135,00:13:16:00,00:13:18:05,She does not look too well.
1,18,136,00:13:19:06,00:13:21:23,"The color has drained from her face
and she is sweating."
1,18,137,00:13:22:00,00:13:23:14,What do you think?
1,18,138,00:13:25:09,00:13:28:05,"I think you should let her rest first,
Your Royal Highness."
1,18,139,00:13:31:17,00:13:32:17,Let her rest.
1,18,140,00:13:34:00,00:13:35:00,Come.
1,18,141,00:13:40:14,00:13:41:23,She must be lying.
1,18,142,00:13:43:10,00:13:44:17,What is she hiding?
1,18,143,00:13:44:19,00:13:46:03,Mu-deok would know.
1,18,144,00:13:46:22,00:13:48:14,"Mu-deok, you were with her, right?"
1,18,145,00:13:51:05,00:13:52:21,How did you end up here?
1,18,146,00:13:54:03,00:13:56:19,I was here all along.
1,18,147,00:13:59:23,00:14:01:00,You were here?
1,18,148,00:14:02:01,00:14:04:12,"Were you not pouring tea
at the Training Center?"
1,18,149,00:14:05:11,00:14:08:22,"I was, but then
I followed you here immediately."
1,18,150,00:14:08:24,00:14:11:24,I do not know what happened back there.
1,18,151,00:14:12:23,00:14:15:21,What is the point in asking a maid
1,18,152,00:14:16:10,00:14:20:05,"who knows nothing
but to follow her master like a puppy?"
1,18,153,00:14:20:07,00:14:21:21,"Do not worry, Your Royal Highness."
1,18,154,00:14:22:09,00:14:24:20,"The best mages have gathered
for the Unanimous Assembly."
1,18,155,00:14:24:22,00:14:27:07,This barrier will be broken in no time.
1,18,156,00:14:28:11,00:14:30:07,Bring some tea for the Crown Prince.
1,18,157,00:14:30:09,00:14:31:11,"Yes, of course."
1,18,158,00:14:43:23,00:14:47:08,A puppy who only follows her master.
1,18,159,00:14:47:10,00:14:49:09,A maid who knows nothing.
1,18,160,00:14:50:23,00:14:52:16,That is Mu-deok.
1,18,161,00:14:58:23,00:15:00:07,Look at that.
1,18,162,00:15:00:09,00:15:02:02,There is no water to boil.
1,18,163,00:16:01:19,00:16:04:18,Spell-brewed tea tastes the best.
1,18,164,00:16:06:12,00:16:07:20,It has been a while.
1,18,165,00:16:10:12,00:16:14:24,"I have finally regained my power
thanks to the ice stone."
1,18,166,00:16:24:01,00:16:26:20,What is going on? Where am I?
1,18,167,00:16:28:14,00:16:30:21,We did not lose it this time.
1,18,168,00:16:31:17,00:16:33:17,We are inside the ice stone.
1,18,169,00:16:35:08,00:16:37:05,This is the ice stone?
1,18,170,00:16:37:19,00:16:40:23,"The ice stone is not limited
in shape, size, or form."
1,18,171,00:16:41:14,00:16:43:19,"It can be water, fire,"
1,18,172,00:16:43:21,00:16:45:13,or wind.
1,18,173,00:16:49:16,00:16:52:00,Does this mean I have the ice stone now?
1,18,174,00:16:58:24,00:17:01:15,No one can truly own the ice stone.
1,18,175,00:17:02:24,00:17:05:01,You only use its power.
1,18,176,00:17:05:03,00:17:07:19,Pull and get pushed.
1,18,177,00:17:07:21,00:17:09:22,"Earn one, and lose the other."
1,18,178,00:17:09:24,00:17:12:23,That is the burden you will have to carry.
1,18,179,00:17:13:00,00:17:15:13,I can gladly endure that.
1,18,180,00:17:15:15,00:17:17:05,Then try it.
1,18,181,00:17:17:07,00:17:19:08,Overflowing power means
1,18,182,00:17:19:23,00:17:22:16,"you will not be able to control
how much of it you use."
1,18,183,00:17:23:11,00:17:26:00,"Desire rain, and you will get a flood."
1,18,184,00:17:26:20,00:17:29:13,"Desire wind, and you will get a typhoon."
1,18,185,00:17:30:12,00:17:31:14,Try to endure it.
1,18,186,00:17:32:02,00:17:33:07,What are you?
1,18,187,00:17:33:22,00:17:35:12,A relic of Jinyowon?
1,18,188,00:17:36:10,00:17:38:21,How dare a soul living off my body
1,18,189,00:17:39:19,00:17:41:05,call me a relic?
1,18,190,00:18:09:24,00:18:11:04,Jeongjingak?
1,18,191,00:18:17:11,00:18:18:22,What was that?
1,18,192,00:18:20:01,00:18:23:06,"A relic from Jinyowon
that had attached itself to the ice stone?"
1,18,193,00:18:29:14,00:18:31:20,"Mu-deok, what is this?"
1,18,194,00:18:31:22,00:18:34:14,The Crown Prince's teacup is chipped.
