season,episode,number_line,timecode_in,timecode_out,text
1,19,1,00:00:43:02,00:00:48:08,"Bu-yeon, is this where you felt
the energy of the sparkling stone?"
1,19,2,00:00:48:10,00:00:49:13,Father.
1,19,3,00:00:49:15,00:00:50:21,We are close.
1,19,4,00:00:52:04,00:00:55:11,"The pretty stone is
somewhere underwater nearby."
1,19,5,00:01:02:00,00:01:05:04,"Do you really think
what she found is the ice stone?"
1,19,6,00:01:05:19,00:01:06:21,"Yes, it has to be it."
1,19,7,00:01:07:20,00:01:09:12,"Ten years ago, my master, Jang Gang,"
1,19,8,00:01:09:14,00:01:12:04,"sealed the ice stone here
at Lake Gyeongcheondaeho."
1,19,9,00:01:12:07,00:01:15:05,"And now it has been found
by the girl who was born"
1,19,10,00:01:15:19,00:01:17:14,through the great power of the ice stone.
1,19,11,00:01:18:22,00:01:22:16,"I am sure that
Bu-yeon is Jang Gang's daughter."
1,19,12,00:01:23:13,00:01:26:00,"It explains why he performed sorcery
to save her."
1,19,13,00:01:27:16,00:01:29:08,Do you resent her?
1,19,14,00:01:38:21,00:01:40:11,"Thanks to that girl,"
1,19,15,00:01:40:13,00:01:43:17,"a good-for-nothing man like me
was able to marry"
1,19,16,00:01:44:19,00:01:47:03,the daughter of the Jin family.
1,19,17,00:01:49:05,00:01:50:23,So I guess I should be grateful.
1,19,18,00:01:54:01,00:01:57:21,"This is the place.
The pretty stone is right underneath us."
1,19,19,00:02:09:18,00:02:12:12,"Her father's inferiority complex
and jealousy"
1,19,20,00:02:12:14,00:02:15:08,were what led Jin Bu-yeon to her death.
1,19,21,00:02:17:20,00:02:19:01,It suits you well.
1,19,22,00:02:20:02,00:02:23:07,"If you like it,
then I like it too, Mother."
1,19,23,00:02:25:06,00:02:27:01,You should try on something else.
1,19,24,00:02:30:16,00:02:32:06,Jin Bu-yeon's immense divine powers
1,19,25,00:02:32:21,00:02:35:10,"not only came from her mother,
a member of the Jin family."
1,19,26,00:02:36:08,00:02:40:19,"They also came from her father,
a descendant of the fallen Choi family."
1,19,27,00:02:44:04,00:02:47:04,"The Choi siblings, who made a living
by performing curses and divinations,"
1,19,28,00:02:47:18,00:02:50:15,"were descendants of Mage Choi,
the very first mage to perform"
1,19,29,00:02:50:17,00:02:52:11,the alchemy of souls.
1,19,30,00:02:55:04,00:02:57:11,"Jin Bu-yeon was
a descendant of both families,"
1,19,31,00:02:57:13,00:03:01:05,"which enabled her to become
the best priestess anyone had ever seen."
1,19,32,00:03:02:14,00:03:04:03,You have finally found it.
1,19,33,00:03:05:05,00:03:06:05,Bu-yeon.
1,19,34,00:03:06:16,00:03:08:00,Hand over the ice stone to me.
1,19,35,00:03:20:04,00:03:21:09,Hand it over!
1,19,36,00:03:26:16,00:03:27:17,Bu-yeon…
1,19,37,00:03:28:07,00:03:30:02,Bu-yeon!
1,19,38,00:03:31:24,00:03:33:01,Bu-yeon!
1,19,39,00:03:59:01,00:04:00:18,Eat up.
1,19,40,00:04:01:20,00:04:03:06,Here. Hold the spoon.
1,19,41,00:04:04:10,00:04:06:13,It is bad enough that you are blind.
1,19,42,00:04:06:15,00:04:09:08,"It is pitiful that
you cannot even remember your name."
1,19,43,00:04:11:19,00:04:13:23,Would you like to live with me?
1,19,44,00:04:14:19,00:04:18:13,My late granddaughter's name was Mu-deok.
1,19,45,00:04:18:15,00:04:19:20,Can I call you Mu-deok?
1,19,46,00:04:22:09,00:04:23:22,All right.
1,19,47,00:04:23:24,00:04:25:12,Your name is Mu-deok from now on.
1,19,48,00:04:26:10,00:04:28:01,Such a lovely girl.
1,19,49,00:04:28:03,00:04:30:00,Go ahead and eat.
1,19,50,00:04:36:01,00:04:37:11,Mu-deok.
1,19,51,00:05:20:01,00:05:21:05,Mother.
1,19,52,00:05:28:16,00:05:30:05,Bu-yeon.
1,19,53,00:05:45:16,00:05:46:22,How is this possible?
1,19,54,00:05:48:17,00:05:51:16,"This is exactly what happened
the day Jin Bu-yeon disappeared."
1,19,55,00:06:04:16,00:06:06:03,Mu-deok has not returned.
1,19,56,00:06:06:06,00:06:09:15,"Both Uk and Mu-deok
must have been killed by the soul shifter."
1,19,57,00:06:09:17,00:06:12:00,"At this rate, the rest of us will die too."
1,19,58,00:06:18:11,00:06:19:14,Jin Bu-yeon.
1,19,59,00:06:19:16,00:06:22:09,"You brought the ice stone
from Jinyowon yourself."
1,19,60,00:06:23:03,00:06:25:09,"You are a priestess.
Are you unable to control it?"
1,19,61,00:06:26:20,00:06:29:15,"I just did what my mother told me to do
and brought it here."
1,19,62,00:06:30:12,00:06:31:18,You are pathetic.
1,19,63,00:06:33:06,00:06:36:02,Young Master Seo has lost too much blood.
1,19,64,00:06:36:23,00:06:39:11,"Without a blood transfusion,
his life will be in danger."
1,19,65,00:06:40:07,00:06:42:15,"If you need someone's blood,
you can use mine."
1,19,66,00:06:42:17,00:06:44:24,"We are unable to use spells in here,"
1,19,67,00:06:45:01,00:06:46:22,so your blood cannot be shared.
1,19,68,00:06:54:11,00:06:55:20,Give me your hand.
1,19,69,00:07:05:13,00:07:08:14,"The worm that sucked the blood
of my daughter, Cho-yeon,"
1,19,70,00:07:08:16,00:07:11:11,"will enter your body
and give you the power of the Jin family."
1,19,71,00:07:14:18,00:07:18:07,"Jang Uk has made a fool of us
with his lie."
1,19,72,00:07:20:16,00:07:23:23,"The mages of the Unanimous Assembly have
taken turns reading Words of the Heart,"
1,19,73,00:07:24:00,00:07:26:00,and it says nothing about the ice stone.
1,19,74,00:07:26:02,00:07:28:18,It is nothing more than a piece of poetry.
1,19,75,00:07:32:07,00:07:34:04,What does Songrim have to say about this?
1,19,76,00:07:37:05,00:07:38:15,"All the mages may have read it,"
1,19,77,00:07:39:14,00:07:41:17,but there is something no one knows.
1,19,78,00:07:49:00,00:07:51:22,"Words of the Heart is
a letter of confession"
1,19,79,00:07:51:24,00:07:53:07,written by Master Seo Gyeong.
1,19,80,00:07:53:09,00:07:56:02,It was a letter?
1,19,81,00:07:56:17,00:08:00:05,"It was a love letter
written to Jin Seol-ran,"
1,19,82,00:08:00:07,00:08:01:19,the first leader of Jinyowon.
1,19,83,00:08:03:04,00:08:07:06,"It is a letter confessing that
he did not destroy the ice stone"
1,19,84,00:08:08:00,00:08:11:10,"because he could not let go
of his dying lover."
1,19,85,00:08:13:12,00:08:15:10,Are you saying Master Seo Gyeong
1,19,86,00:08:15:12,00:08:18:20,"chose not to destroy the ice stone
because of love?"
1,19,87,00:08:19:19,00:08:21:11,He is just making things up.
1,19,88,00:08:22:01,00:08:25:15,I can prove that it is a love letter.
1,19,89,00:08:27:11,00:08:30:00,"All you need to do is say the name
of the recipient in your head,"
1,19,90,00:08:30:14,00:08:33:24,"and it will enable you to read
the letter yourself, Your Majesty."
1,19,91,00:08:34:01,00:08:35:19,I can read Words of the Heart
1,19,92,00:08:36:22,00:08:38:13,even though I am not a skilled mage?
1,19,93,00:08:39:06,00:08:40:15,The name of the recipient
1,19,94,00:08:40:17,00:08:44:24,"reminds you of a fresh orchid
that blooms on a cold field of snow."
1,19,95,00:08:46:22,00:08:48:10,It is Seol-ran.
1,19,96,00:08:49:19,00:08:51:02,"""Seol-ran""?"
1,19,97,00:09:23:10,00:09:26:21,"""The faint, blue light…"""
1,19,98,00:09:35:08,00:09:38:19,"""My heart aches to see
my beautiful flower wither."""
1,19,99,00:09:39:21,00:09:41:00,"""And in the end,"
1,19,100,00:09:41:15,00:09:44:22,I am a fool who dares not shed
1,19,101,00:09:46:03,00:09:48:07,"a single tear."""
1,19,102,00:09:50:15,00:09:52:07,It is his confession
1,19,103,00:09:52:09,00:09:55:20,"saying he left the ice stone unharmed
to save his lover."
1,19,104,00:09:59:09,00:10:01:10,But Lady Jin Seol-ran passed away
1,19,105,00:10:01:12,00:10:03:12,less than six months
1,19,106,00:10:03:15,00:10:07:24,"after Jinyowon was established
due to her injury during the Great Chaos."
1,19,107,00:10:08:01,00:10:09:12,"If it was left for her,"
1,19,108,00:10:09:14,00:10:11:18,"then why did she not use it
to save herself?"
1,19,109,00:10:12:09,00:10:16:03,"I believe she chose not to use it
because she did not want the world"
1,19,110,00:10:16:20,00:10:18:14,to be exposed to such dangerous power.
1,19,111,00:10:19:18,00:10:23:05,"What human would choose
to give up on such immense power?"
1,19,112,00:10:23:07,00:10:24:17,A man like you
1,19,113,00:10:25:18,00:10:28:05,would never choose to do what she did.
1,19,114,00:10:28:07,00:10:31:00,"However, she did it for mankind."
1,19,115,00:10:32:09,00:10:33:15,She did what was right.
1,19,116,00:10:35:08,00:10:37:20,To protect what we must…
1,19,117,00:10:40:06,00:10:45:12,"one must sometimes choose
to let go of everything."
1,19,118,00:11:02:08,00:11:04:04,"Since you have unsheathed the sword,"
1,19,119,00:11:05:14,00:11:07:07,make your decision.
1,19,120,00:11:12:01,00:11:13:13,I know you have been avoiding me.
1,19,121,00:11:13:15,00:11:16:15,"I also know that everyone's lives
are in your hands."
1,19,122,00:11:18:24,00:11:22:16,"Like you promised,
point your sword at me first."
1,19,123,00:11:35:00,00:11:36:24,Overflowing power means
1,19,124,00:11:37:01,00:11:39:18,"you will not be able to control
how much of it you use."
1,19,125,00:11:40:17,00:11:43:08,"Desire rain, and you will get a flood."
1,19,126,00:11:44:01,00:11:46:16,"Desire wind, and you will get a typhoon."
1,19,127,00:11:46:18,00:11:48:10,Try to endure it.
1,19,128,00:11:48:12,00:11:51:09,"Does that mean
I have no control over this power?"
1,19,129,00:11:52:16,00:11:55:12,"There is one thing you can do
of your own free will,"
1,19,130,00:11:57:18,00:11:58:23,which is to not use it.
1,19,131,00:12:00:06,00:12:03:13,"It is up to you
to choose not to use that power."
1,19,132,00:12:17:06,00:12:19:05,Make me another promise
1,19,133,00:12:21:08,00:12:22:23,just like you said you would.
1,19,134,00:12:39:16,00:12:41:00,"Among the many stars,"
1,19,135,00:12:41:02,00:12:44:09,"there is a very sad one
called the King's Star."
1,19,136,00:12:46:12,00:12:48:17,What is the King's Star?
1,19,137,00:12:49:09,00:12:50:18,A star that is given to those
1,19,138,00:12:50:20,00:12:53:02,"who are permitted
to use the energy of the heavens."
1,19,139,00:12:53:04,00:12:55:19,"Does that mean
that person becomes powerful?"
1,19,140,00:12:55:21,00:12:57:13,That means it is a good thing.
1,19,141,00:12:58:10,00:13:01:21,"Well, I would not say
it is necessarily always a good thing."
1,19,142,00:13:01:23,00:13:03:22,With great power
1,19,143,00:13:03:24,00:13:05:23,comes great responsibilities.
1,19,144,00:13:06:00,00:13:07:24,What are responsibilities?
1,19,145,00:13:08:01,00:13:10:13,"It means you must also do things
you do not wish to do,"
1,19,146,00:13:10:15,00:13:12:21,which can be very distressing and lonely.
1,19,147,00:13:12:23,00:13:16:12,"Mister, can we eat that?"
1,19,148,00:13:17:17,00:13:18:17,Sure.
1,19,149,00:13:19:17,00:13:22:15,"- I shall give this to you.
- Thank you."
1,19,150,00:13:22:17,00:13:26:09,"In return, make sure
you do not fight over it."
1,19,151,00:13:26:11,00:13:28:01,All right. Let us go now.
1,19,152,00:13:38:11,00:13:40:03,The star will appear soon.
1,19,153,00:13:41:06,00:13:44:04,"Then those leaving shall leave,"
1,19,154,00:13:44:07,00:13:46:20,and those returning shall return.
1,19,155,00:13:53:20,00:13:57:16,"This is the place that
the Crown Prince was looking for."
1,19,156,00:13:58:08,00:14:00:09,"The apothecary where Eunuch Kim,"
1,19,157,00:14:00:11,00:14:02:21,"the man who served the queen,
visited every month."
1,19,158,00:14:02:23,00:14:05:04,You really know how to find your way.
1,19,159,00:14:05:22,00:14:08:08,"Remember the charm
that helps two people become lovers?"
1,19,160,00:14:08:10,00:14:09:23,Did you get that at Gaema Village too?
1,19,161,00:14:10:24,00:14:14:01,"That charm did not even work.
Stop teasing me about that."
1,19,162,00:14:14:16,00:14:18:02,"What do you mean it did not work?
Look at us. We are here together."
1,19,163,00:14:19:11,00:14:20:11,I mean…
1,19,164,00:14:20:12,00:14:23:05,We are not here on a date.
1,19,165,00:14:31:19,00:14:34:22,Why is he here?
1,19,166,00:14:36:22,00:14:39:04,APOTHECARY
1,19,167,00:14:40:05,00:14:41:09,Father?
1,19,168,00:15:19:10,00:15:21:16,You must have regained consciousness.
1,19,169,00:15:21:18,00:15:24:08,"You have tried to harm yourself
once again, Your Highness."
1,19,170,00:15:24:10,00:15:26:12,Why are you keeping me alive?
1,19,171,00:15:27:06,00:15:29:10,Please just kill me.
1,19,172,00:15:29:12,00:15:32:18,"I cannot do that yet.
The Queen's Lantern of Life"
1,19,173,00:15:33:13,00:15:36:09,"must continue to glow
while the Queen's body stays alive."
1,19,174,00:15:39:17,00:15:42:08,"It disturbs me to see you
glare at me like that"
1,19,175,00:15:43:12,00:15:45:21,with the face of my sister.
1,19,176,00:15:45:23,00:15:48:04,"Your resentment should not
be directed toward me."
1,19,177,00:15:48:07,00:15:50:01,Resent the man
1,19,178,00:15:51:06,00:15:53:07,who put me and my sister in this position.
1,19,179,00:16:05:05,00:16:07:17,"Shaman Choi, you have cursed
and harmed people"
1,19,180,00:16:07:20,00:16:09:21,by performing prohibited divinations.
1,19,181,00:16:10:20,00:16:12:07,Do you admit to your sins?
1,19,182,00:16:17:22,00:16:21:17,"I was merely paid
to give people what they wanted."
1,19,183,00:16:21:19,00:16:25:10,"The ones at fault are those
who asked me to curse others."
1,19,184,00:16:25:12,00:16:27:07,Your curse has led to someone's death!
1,19,185,00:16:28:09,00:16:30:05,Yet you still plead innocence?
1,19,186,00:16:33:22,00:16:36:15,"A divination strong enough
to kill someone…"
1,19,187,00:16:36:17,00:16:38:06,I am amazed by your divine powers.
1,19,188,00:16:38:21,00:16:39:24,It just might be
1,19,189,00:16:40:22,00:16:45:09,strong enough to even kill you.
1,19,190,00:16:50:15,00:16:54:17,"Find every single spell book and tool
that was used to perform evil divinations."
1,19,191,00:16:54:19,00:16:55:24,"- Yes, my lord!
- Yes, my lord!"
1,19,192,00:17:13:03,00:17:14:20,"No, not that!"
1,19,193,00:17:15:17,00:17:16:23,"We may be a lowly family,"
1,19,194,00:17:17:00,00:17:19:00,but that is our family heirloom.
1,19,195,00:17:19:03,00:17:21:10,I did not use it to perform divinations!
1,19,196,00:17:21:12,00:17:22:16,So please do not burn it!
1,19,197,00:17:23:06,00:17:24:10,CHEONGANG
1,19,198,00:17:24:12,00:17:25:16,It is a spell book.
1,19,199,00:17:25:18,00:17:26:19,No…
1,19,200,00:17:27:14,00:17:28:14,Burn it.
1,19,201,00:17:31:10,00:17:35:04,No!
1,19,202,00:17:35:16,00:17:37:02,CHEONGANG
1,19,203,00:17:53:11,00:17:55:00,Put out the fire. Now!
1,19,204,00:17:55:02,00:17:56:07,"- Yes, my lord!
- Yes, my lord!"
1,19,205,00:18:01:23,00:18:07:00,CHEONGANG
1,19,206,00:18:15:00,00:18:17:07,THE ALCHEMY OF SOULS
1,19,207,00:18:17:22,00:18:19:10,"""The alchemy of souls""?"
1,19,208,00:18:33:15,00:18:34:23,"Hang in there, my sister."
1,19,209,00:18:53:07,00:18:55:04,Everything began with him.
1,19,210,00:18:55:06,00:18:56:20,He put those scars on my sister's face.
1,19,211,00:18:56:22,00:19:00:01,"He is the reason why my sister
shifted her soul into your body."
1,19,212,00:19:00:03,00:19:02:03,It is all his fault.
1,19,213,00:19:03:13,00:19:04:18,Jang Gang.
1,19,214,00:19:06:13,00:19:07:14,Jang…
1,19,215,00:19:08:10,00:19:10:01,Gang…
1,19,216,00:19:11:10,00:19:13:01,You cannot pass away just yet.
1,19,217,00:19:13:21,00:19:15:18,Stay alive in my sister's body
1,19,218,00:19:16:23,00:19:18:06,"for just a bit longer,"
1,19,219,00:19:19:06,00:19:20:07,Your Highness.
1,19,220,00:19:25:16,00:19:28:04,"It has been more than ten years
since I entered this body."
1,19,221,00:19:29:08,00:19:32:16,"But whenever her consciousness returns,
it still puts a toll on me."
1,19,222,00:19:33:15,00:19:36:15,"If not for the Lantern of Life,
I would have killed her already."
1,19,223,00:19:36:17,00:19:39:06,"Your brother went to her
to feed her the potion."
1,19,224,00:19:40:08,00:19:42:06,So you will feel better soon.
1,19,225,00:19:43:17,00:19:44:17,But…
1,19,226,00:19:46:02,00:19:48:18,"How did the ice stone
end up at Jeongjingak?"
